user_count,worker_id,first_name,bill_rate,country,country_id,degree,education,education_id,work_experience,job_category,job_category_id
79,~015b49f0b52d7f514a,Miles,4.99,United Kingdom,2,Bachelor of Arts (B.A.),Bachelor,0,0,Design & Creative,0
80,~01d9f968943f2f4b2d,Alexandru,15.00,Moldova,36,Master of Technology (M.Tech.),Master,2,0,Design & Creative,0
81,~01e100d8e2b0c922cc,Rastko,30.00,Serbia,23,,None,1,0,Design & Creative,0
82,~0118ce85d8399b3ef4,Kylie,55.56,Thailand,33,,None,1,0,Design & Creative,0
83,~01202309fd61b4f7ce,Stefan,88.89,Germany,26,Bachelor of Business Administration (B.B.A.),Bachelor,0,2,Sales & Marketing,11
84,~019d25202cb3413586,Giacomo,27.50,Italy,1,,None,1,26,Design & Creative,0
85,~01b5e06b3af63eea91,Oleksandr,30.00,Ukraine,6,Error: No education,None,1,0,"Web, Mobile & Software Dev",1
86,~01f9f93af81803ea5c,Elvis,5.00,Bosnia and Herzegovina,37,High school degree,High School,4,0,"Web, Mobile & Software Dev",1
87,~01c1b07e083f96c4ab,Jaila,10.00,Egypt,10,"[u'Master of Science (M.S.)', u'Bachelor of Science (B.S.)']",Master,2,8,Translation,4
88,~01dc9bf84cf5fbb324,Diana,18.00,Ukraine,6,,None,1,2,Design & Creative,0
89,~010f3cbe7cedfa70f3,Ilya,5.56,Russia,19,,None,1,0,Translation,4
90,~01c0e427720dca5f4c,Jan,29.00,Philippines,22,Error: No education,None,1,8,Design & Creative,0
91,~01faca59e4d2e04410,Dalibor,11.11,Serbia,23,Master's degree,Master,2,4,Design & Creative,0
92,~01d9ac16d20a4e18af,Vladimir,20.00,Serbia,23,Other,None,1,11,Design & Creative,0
93,~01f7d75178f6423024,Kristina,25.00,Ukraine,6,Error: No education,None,1,0,Design & Creative,0
94,~01283c7a86c2650455,Illya,15.00,Ukraine,6,Master of Computer Applications (M.C.A.),Master,2,0,"Web, Mobile & Software Dev",1
95,~01352fb05810dd10af,Dmytro,5.00,Ukraine,6,,None,1,0,Design & Creative,0
96,~010a00ff538b184f0d,Mohamed,12.50,Russia,19,"[u'Master of Computer Applications (M.C.A.)', u'Bachelor of Engineering (B.Eng.)']",Master,2,0,"Web, Mobile & Software Dev",1
97,~01549e1eaef2b2c013,Chintya Irawati,10.00,Indonesia,4,Bachelor of Education (B.Ed.),Bachelor,0,2,Translation,4
98,~01af8ec5a8ae08896b,Maurice,18.00,United Kingdom,2,"[u'Bachelor of Education (B.Ed.)', u""Engineer's degree""]",Master,2,29,Writing,5
99,~017b4472d7e40a6d3e,Vadim,15.00,Ukraine,6,,None,1,0,"Web, Mobile & Software Dev",1
100,~01bd1927b58d8c6bb5,Christopher,50.00,United States,11,"[u'Doctor of Law (J.D.)', 'none', u'Bachelor of Arts (B.A.)']",None,1,6,Legal,12
101,~01ec207f3d780e2818,Kimberlee,18.75,Australia,29,"[u'Bachelors', u'Bachelors']",Bachelor,0,4,Writing,5
102,~01f2ae82a39c1b7c40,josephine,3.00,Philippines,22,Error: No education,None,1,0,Admin Support,2
103,~01ff35dabc1bd078c1,Anton,25.00,Russia,19,Bachelor of Laws (LL.B.),Professional,5,4,Engineering & Architecture,7
104,~0158937d66e01ec826,Claudia,3.00,Chile,38,,None,1,0,Translation,4
105,~01a57ec5d3c038889d,Hayley,15.00,France,7,"[u'Bachelor of Arts (B.A.)', u'High school degree']",Bachelor,0,1,Writing,5
106,~0118fdc63ae12e0078,Clive,35.00,United Kingdom,2,Error: No education,None,1,4,Design & Creative,0
107,~017bf248685213bb45,Corie,125.00,United States,11,Master of Public Health (M.P.H.),Master,2,2,Translation,4
108,~01183a18d4b520fef6,Nelia,33.33,Romania,28,"[u'Other', u'Bachelors']",None,1,10,"Web, Mobile & Software Dev",1
109,~01d4689cdd72e2d0bf,Bappy,20.00,Bangladesh,25,"[u'Bachelors', u'High School']",Bachelor,0,1,"Web, Mobile & Software Dev",1
110,~01d445c9deb6c0a1ba,Robinson,3.00,Philippines,22,Bachelor of Science (B.S.),Bachelor,0,0,IT & Networking,3
111,~0193803de2979842be,Vitalii,6.25,Ukraine,6,Bachelor of Engineering (B.Eng.),Bachelor,0,1,"Web, Mobile & Software Dev",1
112,~0121980853891b2e12,Luis Enrique,20.00,Mexico,39,,None,1,0,Admin Support,2
113,~0198bdf362fc2bbc33,Heather,25.00,South Africa,20,"['none', u'Bachelor of Commerce (Economics and Finance)']",None,1,7,Writing,5
114,~01df4db04d149b1793,Matheus,18.00,Brazil,40,Engineer's degree,Master,2,6,"Web, Mobile & Software Dev",1
115,~0119f437cb6fc48924,Sergey,16.00,Ukraine,6,,None,1,2,"Web, Mobile & Software Dev",1
116,~0195af905b44cffcf9,Vladimir,30.00,Russia,19,Bachelor of Fine Arts (B.F.A.),Bachelor,0,0,Design & Creative,0
117,~01b841f54ebefb6bc0,Andrii,7.00,Ukraine,6,Engineer's degree,Master,2,0,Engineering & Architecture,7
118,~0118c3715c07e82fb2,Andrew,20.00,Ukraine,6,,None,1,5,"Web, Mobile & Software Dev",1
119,~0129f5ebb623d555b5,Paula,15.00,United Kingdom,2,"[u""Master's degree"", u'Bachelor of Arts (B.A.)']",Master,2,14,Writing,5
120,~01e60113fd75da8fa9,Quentin,35.00,France,7,Bachelor of Engineering (B.Eng.),Bachelor,0,0,Translation,4
121,~012d5afa62ea459bbd,Fatima,5.00,United Arab Emirates,14,"[u""Bachelor's degree"", u""Bachelor's degree""]",Bachelor,0,9,Writing,5
122,~01ca9747b0a7ec74dd,Lauren,25.00,United States,11,,None,1,5,Design & Creative,0
123,~018157866c975f34a1,Nataly,20.00,Colombia,41,"['none', 'none']",None,1,1,Design & Creative,0
124,~01bb292ef09c3fbdba,Natalia,6.67,Argentina,24,Bachelor's degree,Bachelor,0,6,Translation,4
125,~012aeb73768a32a008,Brad,40.00,United States,11,Bachelor of Business Administration (B.B.A.),Bachelor,0,1,Accounting & Consulting,9
126,~011d3873c54820dbcb,Vanja,15.00,Canada,18,English Language and Literature,None,1,0,Writing,5
127,~01597cc21e1c22ef56,Yaroslav,3.00,Ukraine,6,Master of Science (M.S.),Master,2,0,"Web, Mobile & Software Dev",1
128,~018da2d3701c901e3b,Rachel,32.00,United States,11,Bachelor of Arts (B.A.),Bachelor,0,0,Translation,4
129,~01da40fafbd21af7fc,Zak,23.00,Spain,0,Master of Business Administration (M.B.A.),Master,2,7,Design & Creative,0
130,~015806248f9c71811e,Michaela,70.00,France,7,"[u'Bachelor of Arts (B.A.)', u'Bachelor of Arts (B.A.)', u'Bachelor of Arts (B.A.)']",Bachelor,0,4,Admin Support,2
131,~012403e368e26175c1,Marija,5.00,Serbia,23,"['none', 'none']",None,1,3,Admin Support,2
132,~010c7c43f61776e30e,Norman Troy,5.00,Philippines,22,Bachelor of Science (B.S.),Bachelor,0,4,"Web, Mobile & Software Dev",1
133,~012d48992b85e1bc4d,Mary,14.00,United States,11,Bachelor of Applied Science (B.A.Sc.),Bachelor,0,3,Admin Support,2
134,~01bd2ef21112b0f518,Lau,20.00,China,13,Master of Arts (M.A.),Master,2,0,Translation,4
135,~01c604a4412d98bec2,Cecily Ann,20.00,United States,11,Bachelor of Arts (B.A.),Bachelor,0,1,Design & Creative,0
136,~01d5d87a2696efe40d,Dale Bert,7.00,Philippines,22,Bachelor of Education (B.Ed.),Bachelor,0,0,Admin Support,2
137,~0102475397f27deacc,Alina,30.00,Ukraine,6,"[u""Master's degree"", u""Bachelor's degree""]",Master,2,2,"Web, Mobile & Software Dev",1
138,~018a90d312f48ac967,Vladislav,8.00,Russia,19,Bachelor's degree,Bachelor,0,3,Design & Creative,0
139,~01e9af6e428c043893,Cesar Lawrence Nouell Glenn,3.00,Philippines,22,Bachelor of Engineering (B.Eng.),Bachelor,0,0,Engineering & Architecture,7
140,~01fd5622fa7e0d58e6,Jared,30.00,United States,11,Bachelor of Arts (B.A.),Bachelor,0,12,Design & Creative,0
141,~0171dda2527f6b5744,Azeem,8.00,Pakistan,12,"[u'Master of Arts (M.A.)', u'Bachelor of Science (B.S.)']",Master,2,0,Admin Support,2
142,~0171385acc3913fd56,Claudia Kiki,12.00,Japan,42,"[u'Master of Arts (M.A.)', u'Bachelor of Arts (B.A.)']",Master,2,1,Translation,4
143,~01aaed187cecde674e,Yuvasy,10.00,Venezuela,27,"['none', u""Master's degree"", u'Doctor of Law (J.D.)']",None,1,4,Translation,4
144,~01c36fc0a870db996a,Oxana,10.00,Romania,28,Master of Arts (M.A.),Master,2,7,Sales & Marketing,11
145,~011dfed701a511b1e5,Artur,22.22,Romania,28,,None,1,0,"Web, Mobile & Software Dev",1
146,~01835937da25d6885d,Tomas,10.00,Lithuania,15,"['none', u'Bachelor of Business Administration (B.B.A.)']",None,1,1,Writing,5
147,~013d5db5fda6526bd8,Alice,10.00,Serbia,23,Bachelor of Education (B.Ed.),Bachelor,0,5,Translation,4
148,~01d401a30a443acb97,Shahanshila,10.00,United States,11,Bachelor of Applied Science (B.A.Sc.),Bachelor,0,5,Admin Support,2
149,~015ccd836ca3163d98,Lauren,21.25,United States,11,Bachelor of Science in Biology,Bachelor,0,4,Writing,5
150,~0164f7847cc7505cec,Maia,60.00,United States,11,Bachelor of Engineering (B.Eng.),Bachelor,0,4,"Web, Mobile & Software Dev",1
151,~012a84da4c842f08b8,Marina,6.00,Serbia,23,Bachelor's,Bachelor,0,3,Translation,4
152,~010f65cf0c030e0adb,Joana,5.00,Croatia,43,Master of Science (M.S.),Master,2,0,Admin Support,2
153,~0198f237ba1351b31e,Ilham,15.00,Denmark,44,"['none', u'Master of Business Administration (M.B.A.)', u'Bachelor of Business Administration (B.B.A.)']",None,1,6,Accounting & Consulting,9
154,~01c22f1062c578e408,Dusan,10.00,Serbia,23,Bachelor of Arts (B.A.),Bachelor,0,0,Writing,5
155,~01397104efc7d98507,Elizabeth,20.00,United States,11,Bachelor of Arts (B.A.),Bachelor,0,3,Design & Creative,0
156,~0110f678fceebe783d,Abdur Rafay,25.00,Pakistan,12,Bachelor of Engineering (B.Eng.),Bachelor,0,3,Sales & Marketing,11
157,~014fbb67b8c5d122d5,Mohamed,12.50,Egypt,10,Bachelor of Engineering (B.Eng.),Bachelor,0,4,Admin Support,2
158,~015531653ca29f9271,Jeannette Marie,11.11,Philippines,22,Master of Public Administration (M.P.A.),Master,2,5,Admin Support,2
159,~01abf81105c76bdddf,Kara,17.00,United States,11,Bachelor of Science (B.S.),Bachelor,0,0,Admin Support,2
160,~01fba329be312e8cda,Kathrine,18.00,Belarus,35,"[u'Bachelor of Architecture (B.Arch.)', 'none']",None,1,0,Engineering & Architecture,7
161,~01ad04cb9fbadac5c0,Laeeq,50.00,Pakistan,12,Masters in Computer Sciences ,Master,2,3,"Web, Mobile & Software Dev",1
162,~0119f59a4057300046,Shane,38.89,United States,11,Error: No education,None,1,0,"Web, Mobile & Software Dev",1
163,~014ced4c863e9f2eb0,Colleen,100.00,United States,11,"[u'Master of Science (M.S.)', u'Bachelor of Business Administration (B.B.A.)']",Master,2,8,Writing,5
164,~01b5e72495e9eda59a,Ozge,8.00,Turkey,3,,None,1,0,Translation,4
165,~01d950b50da59b6fb7,Evgeniya,12.50,Russia,19,Bachelor of Business Administration (B.B.A.),Bachelor,0,6,Admin Support,2
166,~0179d50ac97672bae1,Andrej,8.00,Serbia,23,Bachelor of Engineering (B.Eng.),Bachelor,0,0,"Web, Mobile & Software Dev",1
167,~0148d9cb29b0e7f1ba,Ricky,4.00,Philippines,22,Bachelor of Commerce (B.Com.),Bachelor,0,7,Admin Support,2
168,~01896159a89f29f88e,Roman,30.00,Ukraine,6,"[u'Master of Science (M.S.)', u'Bachelor of Engineering (B.Eng.)']",Master,2,13,"Web, Mobile & Software Dev",1
169,error,error,error,error,0,error,error,0,error,error,0
170,~013a204a16ace5922f,Muhammad,40.00,Pakistan,12,Bachelor of Science (B.S.),Bachelor,0,6,"Web, Mobile & Software Dev",1
171,~01a3d7b81c26bf8052,Peter,25.00,Hungary,45,Master of Arts (M.A.),Master,2,3,Translation,4
172,~013cbe78824d7d3ee3,Ievgen,25.00,Ukraine,6,Error: No education,None,1,6,Design & Creative,0
173,~0199e57ccd4f7f03c7,Vihara,16.67,Canada,18,"[u'Masters', u'Bachelors', u'Bachelors']",Master,2,2,Writing,5
174,~018ced0ded97efcba9,Alexey,25.00,Russia,19,Error: No education,None,1,3,"Web, Mobile & Software Dev",1
175,~01f38b814f3a8ca3c1,Catherine,80.00,South Africa,20,Associate of Arts and Sciences (A.A.S.),Associate,6,19,Design & Creative,0
176,~011c4177ae749b831e,Vincent,60.00,France,7,"[u'Doctor of Philosophy (Ph.D.)', u'Master of Arts (M.A.)', u'Bachelor of Arts (B.A.)']",Doctorate,3,4,Translation,4
177,~01b09823b58696f315,Nermin,10.00,Bosnia and Herzegovina,37,Master's degree,Master,2,4,Translation,4
178,~01eef620eead3552e8,Thais,13.80,Brazil,40,Bachelor of Applied Science (B.A.Sc.),Bachelor,0,2,Translation,4
179,~010f4c14637b77b3e1,Shannon,12.00,United States,11,"[u'Bachelor of Business Administration (B.B.A.)', u'Bachelor of Arts (B.A.)']",Bachelor,0,13,Writing,5
180,~0107888721538680f6,Ahmed Ali,15.00,United Arab Emirates,14,Bachelor of Engineering (B.Eng.),Bachelor,0,0,Engineering & Architecture,7
181,~0130dd7057dcabd532,Abdul,12.00,Pakistan,12,Bachelor's degree,Bachelor,0,7,Design & Creative,0
182,~01a3c00ed4e03bce35,Padma Senthil,12.50,India,5,"[u'Bachelors', u'Diploma', u'Diploma']",Bachelor,0,18,Design & Creative,0
183,~012a92b03a670bbba2,Patrick,25.00,Australia,29,Bachelor of Arts (B.A.),Bachelor,0,0,Writing,5
184,~01d0ef4b1c800b1fd6,Tatiana,10.00,Russia,19,,None,1,3,Translation,4
185,~018a95b8fbfd08bbc9,Cathy,85.00,United States,11,Master of Arts (M.A.),Master,2,10,Sales & Marketing,11
186,~01d2262f4e77e58995,Jesha Mae,3.00,Philippines,22,"['none', 'none']",None,1,0,Customer Service,10
187,~01f92d26b3d7b1ac11,Andrey,35.00,Ukraine,6,Error: No education,None,1,3,Design & Creative,0
188,~01b3a64e25573aef84,Mariia,12.00,Ukraine,6,Master of Business Administration (M.B.A.),Master,2,1,"Web, Mobile & Software Dev",1
189,~01c6d7bad3ce3af838,Vova,45.00,Russia,19,Master of Computer Applications (M.C.A.),Master,2,2,"Web, Mobile & Software Dev",1
190,~016b2dbaf3d51ded14,Miriam,25.00,Ecuador,46,"[u'Master of Education (M.Ed.)', u'Bachelor of Education (B.Ed.)']",Master,2,4,Translation,4
191,~01836140e90b26da0b,Ben,25.00,United Kingdom,2,Bachelor of Arts (B.A.),Bachelor,0,0,Design & Creative,0
192,~01e7f81e524ba0b900,Irena,3.00,Serbia,23,Master of Education (M.Ed.),Master,2,11,Admin Support,2
193,~017d8ca646166c378c,Jessica,15.00,Mexico,39,"['none', u'Licentiate degree']",None,1,8,Writing,5
194,~01e1a1925517f09fa1,Arkadiusz,50.00,United Kingdom,2,Bachelor of Engineering (B.Eng.),Bachelor,0,7,"Web, Mobile & Software Dev",1
195,~01b43b594e5faa0262,Amber,15.00,United Kingdom,2,Bachelor of Arts (B.A.),Bachelor,0,8,Translation,4
196,~0108c7c2ecb5648a66,Ahmad,7.00,Pakistan,12,Bachelor of Applied Science (B.A.Sc.),Bachelor,0,1,"Web, Mobile & Software Dev",1
197,~0170395451988adaae,Daniil,60.00,United Kingdom,2,,None,1,12,Design & Creative,0
198,~01dd47420a98d63617,Aimee,38.00,United States,11,"[u'Master of Arts (M.A.)', u'Bachelor of Arts (B.A.)']",Master,2,0,Writing,5
199,~01f4fada48ece69191,Jani,10.00,Belgium,47,High school degree,High School,4,0,Customer Service,10
200,~01feb1f96f6d9876d4,Melanie,32.00,Australia,29,,None,1,7,Design & Creative,0
201,~018a5f65c4322f21b9,Atanas,12.50,Macedonia,48,,None,1,7,"Web, Mobile & Software Dev",1
202,~01313492426f570357,Samantha,4.00,Philippines,22,Associate's degree,Associate,6,6,Admin Support,2
203,~01524778b23d63d045,Evgeniy,10.00,Russia,19,Master of Computer Applications (M.C.A.),Master,2,0,"Web, Mobile & Software Dev",1
204,~01c4b147cab277c123,Tolga,5.00,Turkey,3,,None,1,3,Translation,4
205,~01abd05fb646a1d56c,Michelle,20.00,Philippines,22,"[u'Bachelor of Science (B.S.)', u'High School']",Bachelor,0,0,Writing,5
206,~01ead57daa2c706fb0,Christian,7.00,Mexico,39,"[u""Engineer's degree"", u'Bachelor of Applied Science (B.A.Sc.)']",Master,2,1,Translation,4
207,~01f4a9d5daacfb03d7,Jungsuk,15.00,United States,11,"[u'Master of Business Administration (M.B.A.)', u'Bachelor of Engineering (B.Eng.)']",Master,2,3,Translation,4
208,~010374d634bc106f86,Peter,75.00,Belgium,47,"['none', 'none']",None,1,0,"Web, Mobile & Software Dev",1
209,~01ac1b3d8f9641f314,Mohamed,8.00,Egypt,10,,None,1,0,Design & Creative,0
210,~01dc246edfac01fff8,Carmina,10.00,Romania,28,"[u""Master's degree"", u""Bachelor's degree""]",Master,2,5,Translation,4
