user_count,worker_id,first_name,bill_rate,country,country_id,degree,education,education_id,work_experience,job_category,job_category_id
30,~0104c9caa56bfcaa97,Lindsay,50.00,United States,0,"[u'Bachelors Degree in Public Relations', u'College Credit Certification in Web Development']",None,0,4,IT & Networking,3
31,~011ab65e13336941fd,Jennifer,110.00,United States,0,"['none', u'Drug Discovery, Dev & Commercialization, Coursera', u'Bachelor of Science (B.S.)']",None,0,11,Writing,2
32,~018273718aa6343437,Josh,29.00,United States,0,,None,0,1,"Web, Mobile & Software Dev",4
33,~01bb4b94b68d3391ee,Fred,40.00,United States,0,Bachelor of Arts (B.A.),Bachelor,3,29,Engineering & Architecture,7
34,~011d73296f59a4744d,Ana,35.00,United States,0,"[u'Master of Business Administration (M.B.A.)', u'Bachelor of Arts (B.A.)']",Master,2,3,Design & Creative,0
35,~014feee97f377ed151,Cory,40.00,United States,0,Bachelor of Arts (B.A.),Bachelor,3,1,Translation,8
36,~0104a2b27924d06855,Bryan,150.00,United States,0,,None,0,-11,"Web, Mobile & Software Dev",4
37,~01bfdbf2863c95bd0d,Anthony,50.00,United States,0,Master's degree,Master,2,14,Accounting & Consulting,9
38,~01a2ba9fe5562e4429,Ashley,50.00,United States,0,"[u'Master of Education (M.Ed.)', u'Bachelor of Business Administration (B.B.A.)', u'Associate of Science (A.S.)']",Master,2,4,Writing,2
39,~0191f7b31caf2d0562,Mario,35.00,United States,0,,None,0,7,Design & Creative,0
40,~014995447ad704f1ad,Brian,60.00,United States,0,"[u'Master of Arts (M.A.)', u'Bachelor of Science (B.S.)']",Master,2,4,Sales & Marketing,5
41,~0154381ac21c6eab67,Jessica,75.00,United States,0,Master of Business Administration (M.B.A.),Master,2,11,Writing,2
42,~01f53ce45f356bc944,Anthony,75.00,United States,0,Bachelor of Business Administration (B.B.A.),Bachelor,3,5,"Web, Mobile & Software Dev",4
43,~01e778e71d4c9a1999,J,200.00,United States,0,"[u'Master of Business Administration (M.B.A.)', u'Bachelor of Arts (B.A.)']",Master,2,16,Design & Creative,0
44,~01b558e9781539d47b,Andrew,57.77,United States,0,B.A. Journalism,Bachelor,3,19,Sales & Marketing,5
45,~011cd393b01b8a3e8a,Rozanna,68.00,United States,0,"[u'Associate of Arts (A.A.)', u'Bachelor of Architecture (B.Arch.)']",Bachelor,3,17,Design & Creative,0
46,~01d28bf68f8e77cd9b,Matt,70.00,United States,0,Bachelor of Science (B.S.),Bachelor,3,8,Design & Creative,0
47,~0190d619eb0a057d8c,Alexander,25.00,United States,0,"[u'Bachelor of Arts (B.A.)', u'Associate of Arts (A.A.)']",Bachelor,3,2,Sales & Marketing,5
48,~01f291f88a451d2c01,Adam,75.00,United States,0,"B.B.A., Management Information Systems",Bachelor,3,9,"Web, Mobile & Software Dev",4
49,~018b55e8a434b4f6c6,Herbert,138.89,United States,0,Master of Business Administration (M.B.A.),Master,2,34,Sales & Marketing,5
50,~017feb208c16f4ee1f,Chris,80.00,United States,0,Bachelor of Business Administration (B.B.A.),Bachelor,3,8,"Web, Mobile & Software Dev",4
51,~01b41a930a1a5437c9,Ryan,35.00,United States,0,"[u'Doctor of Medicine (M.D.)', u'Doctor of Medicine (M.D.)', u'Bachelor of Arts (B.A.)', 'none', 'none', 'none']",None,0,18,Writing,2
52,~01bb51d729c7ee7f50,Loraine,30.00,United States,0,Bachelor of Science (B.S.),Bachelor,3,7,Design & Creative,0
53,~014dddb5252a7f3227,Scott DS,40.00,United States,0,"[u'Bachelor of Arts (B.A.)', u'Assoicates Degee in Liberal Studies', u'Digital Graphic Design - Apprenticeship']",None,0,9,Design & Creative,0
54,~01a90cdd29708b067f,Christopher,50.00,United States,0,Bachelor of Science (B.S.),Bachelor,3,5,"Web, Mobile & Software Dev",4
55,~014d581a6c40a5796f,Nathan,50.00,United States,0,Error: No education,None,0,12,"Web, Mobile & Software Dev",4
56,~018d6062147cf02ccd,Alex,42.00,United Kingdom,3,,None,0,5,Design & Creative,0
57,~014c9339e3ac9d28f0,John,50.00,United States,0,"Bachelor of Science, Computer Programming",Bachelor,3,22,Writing,2
58,~01d4b3d986914923d8,Spencer,70.00,United States,0,Bachelors of Political Science,Bachelor,3,11,Writing,2
59,~0138e4546e36126d37,Matthew,200.00,United States,0,Bachelor of Arts (B.A.),Bachelor,3,4,Accounting & Consulting,9
60,~0110f4a6bc8ae82036,Melanie,50.00,United States,0,Bachelor of Arts (B.A.),Bachelor,3,13,Data Science & Analytics,6
61,~018283339159fbebe7,adrian,25.00,United States,0,Associate of Arts (A.A.),Associate,5,2,"Web, Mobile & Software Dev",4
62,~0162ddbb9be1f85f69,Ben,80.00,South Africa,6,Associate of Arts (A.A.),Associate,5,7,Writing,2
63,~018e55ef4c678a8d42,Dmitry,38.00,Ukraine,4,,None,0,7,IT & Networking,3
64,~0185519811f1d3802a,Katie,36.00,Netherlands,7,Bachelor of Arts (B.A.),Bachelor,3,7,Writing,2
65,~019fa854deeafebb91,Dimitri,65.00,United States,0,Bachelor of Arts (B.A.),Bachelor,3,0,"Web, Mobile & Software Dev",4
66,~016027ab4b27667acc,Pramod,25.00,United States,0,Error: No education,None,0,14,Data Science & Analytics,6
67,~013d587bbf10d5ff4f,Dave,125.00,United States,0,"[u'Master of Science (M.S.)', u'Bachelor of Science (B.S.)']",Master,2,11,Engineering & Architecture,7
68,~01fe7123f9dd29dcfa,Hui,28.00,United States,0,Bachelor of Arts (B.A.),Bachelor,3,6,Translation,8
69,~016fa971ef0a9128cd,Stacey,55.00,South Africa,6,Bachelor of Engineering (B.Eng.),Bachelor,3,8,"Web, Mobile & Software Dev",4
70,~019b6284a7ada6f746,Aleksandr,30.00,Russia,8,Masters,Master,2,0,"Web, Mobile & Software Dev",4
71,~0190bec55265467070,Ruzhica,60.00,Macedonia,9,Diploma,Associate,5,error,Design & Creative,0
72,~017120d64aeb181516,Jesmin,30.00,Bangladesh,10,"[u""Bachelor's degree"", u'High school degree']",Bachelor,3,5,"Web, Mobile & Software Dev",4
73,~015dcd620ea65ae7d1,Khristina,45.00,Russia,8,,None,0,4,Sales & Marketing,5
74,~0197f6100d55aa0991,Birju,33.00,India,11,Bachelor of Engineering (B.Eng.),Bachelor,3,3,Design & Creative,0
75,~013373ac1fb469876d,Yuri,35.00,Russia,8,"[u""Master's degree"", u""Master's degree""]",Master,2,13,"Web, Mobile & Software Dev",4
76,~01224715cd61562f50,Ionut-Adrian,39.00,Romania,12,Engineer's degree,Master,2,20,"Web, Mobile & Software Dev",4
77,~01f6e21e0d2ab149fc,Estuardo,35.00,Guatemala,13,"[u'Bachelors', u'Diploma']",Bachelor,3,11,Design & Creative,0
78,~01b599ee91e054fa01,Swapnil,32.00,India,11,Master's,Master,2,-53,"Web, Mobile & Software Dev",4
79,~0133005d480b07796a,Anas,30.00,Pakistan,14,Bachelor of Science (B.S.),Bachelor,3,4,Design & Creative,0
80,~01f1db9597a0354721,Assem,60.00,Tunisia,15,Master's degree,Master,2,10,"Web, Mobile & Software Dev",4
81,~0151be09a2b663a091,Rui,35.00,Portugal,16,"[u'Master of Science (M.S.)', u'Bachelor of Science (B.S.)']",Master,2,4,Data Science & Analytics,6
82,~01dba42828b099b23c,David,140.00,Australia,1,Bachelor of Commerce (B.Com.),Bachelor,3,18,Sales & Marketing,5
83,~017e4214f2396e1342,Oleg,30.00,Georgia,17,Bachelor of Business Administration (B.B.A.),Bachelor,3,10,IT & Networking,3
84,~01903effbaa001d49d,Kavous,60.00,Canada,18,Engineer's degree,Master,2,20,Engineering & Architecture,7
85,~014f8e9586af6e6b0a,Yuliya,25.00,Belarus,19,,None,0,0,Design & Creative,0
86,~01f075cf4fcc0ec365,Tabinda,25.00,Pakistan,14,High school degree,High School,6,0,Writing,2
87,~018b50dba565938d18,Aroon,32.00,India,11,Bachelor of Fine Arts (B.F.A.),Bachelor,3,9,"Web, Mobile & Software Dev",4
88,~016d16a32a5a778c2c,Umar Hayat,35.00,Pakistan,14,"[u'Master of Philosophy (M.Phil.)', u'Master of Philosophy (M.Phil.)', u'Bachelor of Applied Science (B.A.Sc.)']",Master,2,12,Admin Support,1
89,~01092a125683949e98,Nadzeya,25.00,Belarus,19,,None,0,7,Design & Creative,0
90,~016e3b3469f3a917d3,Partha,28.00,India,11,Master of Science (M.S.),Master,2,6,IT & Networking,3
91,~01fd6ea0a954e20b21,Daniel,40.00,United Kingdom,3,,None,0,7,Writing,2
92,~01a1b362da839bf485,Kinner,25.00,India,11,Master of Business Administration (M.B.A.),Master,2,7,"Web, Mobile & Software Dev",4
93,~01f27a0b6c741f8954,Andy,30.00,Colombia,20,"[u""Master's degree"", 'none']",None,0,2,Design & Creative,0
94,~01f83687ef88b7a3d0,Jen,30.00,Germany,21,Bachelor of Arts (B.A.),Bachelor,3,2,Translation,8
95,~01451cbd2222f81b7b,Alex,80.00,Russia,8,Master of Science (M.S.),Master,2,7,"Web, Mobile & Software Dev",4
96,~012e894e8a7eefc0eb,Jeremy,24.00,South Korea,22,,None,0,4,Admin Support,1
97,~01f9c542d5945493f0,Denis,39.00,Russia,8,Error: No education,None,0,3,"Web, Mobile & Software Dev",4
98,~01e80b05d0ffee5929,Dmitriy,35.00,Ukraine,4,,None,0,10,"Web, Mobile & Software Dev",4
99,~0168b394466e457ed2,Sandip,25.00,India,11,Bachelors,Bachelor,3,4,Design & Creative,0
100,~0161a58382688ba4a3,Alexandr,25.00,Ukraine,4,Master of Computer Applications (M.C.A.),Master,2,8,Design & Creative,0
101,~019ec9e258bd97ad95,Vladislav,34.00,Ukraine,4,"[u'Master of Arts (M.A.)', u'Master of Arts (M.A.)']",Master,2,6,"Web, Mobile & Software Dev",4
102,~014324b170232de9b9,Sergei,30.00,Russia,8,"[u'Master of Science (M.S.)', u'Bachelor of Science (B.S.)']",Master,2,7,"Web, Mobile & Software Dev",4
103,~016eb231a33452af90,Andy,50.00,Hong Kong,23,"[u'Master of Arts (M.A.)', u'Master of Philosophy (M.Phil.)']",Master,2,5,Writing,2
104,~01d41085d64934eaf2,Anton,30.00,Ukraine,4,Master's degree,Master,2,13,"Web, Mobile & Software Dev",4
105,~01a4bdbd5280d98e27,Devesh,25.00,India,11,Bachelor of Engineering (B.Eng.),Bachelor,3,7,"Web, Mobile & Software Dev",4
106,~01d1cfe2fc7e2fdf35,Daria,35.00,Russia,8,"['none', 'none', u'Master of Fine Arts (M.F.A.)']",None,0,7,Design & Creative,0
107,~0152d388c54a64c94a,Mark,40.00,South Africa,6,"[u'Certificate in Project Management', u'BTECH: Visual Communication', u'National Higher Diploma: Graphic Design']",None,0,14,Design & Creative,0
108,~01a22437f616644fb1,Vladimir,25.00,Russia,8,Engineer's degree,Master,2,10,Design & Creative,0
109,~01d0d229e19937979f,Miltos,35.00,Greece,24,Master of Business Administration (M.B.A.),Master,2,15,Design & Creative,0
110,~01eb942278efcf4333,Samuel,29.00,Armenia,25,Bachelor of Applied Science (B.A.Sc.),Bachelor,3,15,"Web, Mobile & Software Dev",4
111,~01a37df34cd9281856,Vadim,40.00,Ukraine,4,,None,0,2,Design & Creative,0
112,~0120cbc5e98bea620f,Abdul,22.50,Pakistan,14,Master of Education (M.Ed.),Master,2,2,Admin Support,1
113,~019b30a4e87b1f07be,Alessio,60.00,Italy,26,"[u'Doctor of Philosophy (Ph.D.)', u""Engineer's degree""]",Doctorate,1,3,Engineering & Architecture,7
114,~01f23bc81b163060f4,Vinit,25.00,India,11,"[u'Bachelor of Arts (B.A.)', u'Bachelor of Engineering (B.Eng.)']",Bachelor,3,6,IT & Networking,3
115,~01b6253360c2068d51,Yasmin,37.50,Pakistan,14,Master of Computer Applications (M.C.A.),Master,2,6,"Web, Mobile & Software Dev",4
116,~01faa54923511cd423,Adriano,40.00,Brazil,27,"['none', u'Other']",None,0,10,Translation,8
117,~014df116e1ed705471,Sergey,30.00,Ukraine,4,Bachelor degree,Bachelor,3,6,Engineering & Architecture,7
118,~01e955c9084bc53c32,Luciano,30.00,Bolivia,28,"[u'Diploma in Advertising', u'Diploma in Graphic Design ']",Associate,5,13,Design & Creative,0
119,~010d63b3f7d90794a7,Alexandr,50.00,Russia,8,Engineer's degree,Master,2,0,Engineering & Architecture,7
120,~01ac6b687000720ee4,USMAN,25.00,Pakistan,14,"[u'Bachelor of Science (B.S.)', u'Master of Laws (LL.M.)', 'none', 'none', 'none']",None,0,5,Translation,8
121,~01bdf133ee5e78e3e7,Małgorzata,25.00,Poland,29,"[u'Other', u""Bachelor's"", u""Master's""]",None,0,0,Admin Support,1
122,~016de9ec19ba86b170,Kenneth Owen,187.50,United States,0,Other,None,0,9,Design & Creative,0
123,~01cbd5de5df3d1638d,Krystof,30.00,Czech Republic,30,"[u""Master's degree"", u""Bachelor's degree""]",Master,2,10,Design & Creative,0
124,~012d6f71e64e8c9fd4,Jan,45.00,Slovakia,31,Masters,Master,2,12,IT & Networking,3
125,~0172aeb99ae33b9076,KAMAU,42.00,Kenya,32,Bachelors,Bachelor,3,8,Admin Support,1
126,~01ddf540ce40bee8e7,Abhinav,25.00,India,11,Bachelor Of Engineering,Bachelor,3,8,Design & Creative,0
127,~018cc213005414c628,Alexandru Luchian,80.00,Romania,12,"[u'Master of Science (M.S.)', u'Bachelor of Science (B.S.)', u'Bachelor of Science (B.S.)']",Master,2,2,Admin Support,1
128,~016bdd5d95c5841a64,Hasanat,25.00,Bangladesh,10,"[u'Foundation degree', u'Bachelor of Engineering (B.Eng.)']",None,0,6,Design & Creative,0
129,~017b89d62f1778b481,Akshata,50.00,India,11,Master of Business Administration (M.B.A.),Master,2,13,Writing,2
130,~016d55896368998adc,Carlos,25.00,Brazil,27,,None,0,-2,Translation,8
131,~016da320417f0c8d22,Vinh,35.00,Vietnam,2,Bachelor of Engineering (B.Eng.),Bachelor,3,1,"Web, Mobile & Software Dev",4
132,~015fc493d2864fad6d,Vic,27.78,United States,0,Error: No education,None,0,0,Design & Creative,0
133,~019585565fccb0e665,Paul,35.00,United States,0,Bachelor of Applied Science (B.A.Sc.),Bachelor,3,10,Design & Creative,0
134,~01601d88ea87c7507c,Peeyush,28.00,India,11,"[u'Master of Business Administration (M.B.A.)', u'Bachelor of Engineering (B.Eng.)']",Master,2,3,"Web, Mobile & Software Dev",4
135,~0102fc2988e64d6712,Mansoor,35.00,Pakistan,14,BS Computer Sciences,None,0,5,"Web, Mobile & Software Dev",4
136,~01f58823a68e718af2,Supratman,25.00,Indonesia,33,Bachelor of Science (B.S.),Bachelor,3,3,IT & Networking,3
137,~01c941113c09da41da,Daria,25.00,Russia,8,,None,0,6,Translation,8
138,~01788b62ea911dfe96,Alexander,25.00,Russia,8,Master's,Master,2,1,Engineering & Architecture,7
139,~017717e1a44bd1c12f,Jacky,30.00,Vietnam,2,Bachelor of Engineering (B.Eng.),Bachelor,3,5,"Web, Mobile & Software Dev",4
140,~01e64388a2e8173d81,Diego,75.00,Spain,34,,None,0,11,Design & Creative,0
141,~0159378ab12da98bdc,Michael,128.00,Singapore,35,Error: No education,None,0,15,Sales & Marketing,5
142,~01c8a2bbdc8b8525e5,Milos,40.00,Serbia,36,Error: No education,None,0,0,Design & Creative,0
143,~0144e40e1d308dd57e,Alex,40.00,Ukraine,4,Bachelor of Business Administration (B.B.A.),Bachelor,3,1,Design & Creative,0
144,~016fe04baaf0ccc5bd,Djordje,33.00,Serbia,36,,None,0,17,Design & Creative,0
145,~01e5647dec2f6fc8ec,Max,50.00,Ukraine,4,Master of Business Administration (M.B.A.),Master,2,1,IT & Networking,3
146,~015e9fbcc2a2af2668,Aleksey,40.00,Kazakhstan,37,Graphic&Advertising Designer,None,0,8,Design & Creative,0
147,~010336caf9b1dcf76e,Phillip,25.00,Jamaica,38,Bachelor of Science (B.S.),Bachelor,3,1,Design & Creative,0
148,~01c1f42e19a90f4008,Ajay,25.00,India,11,Masters,Master,2,8,"Web, Mobile & Software Dev",4
149,~0144d54999332fc25b,Oleksii,28.00,Ukraine,4,Master of Arts (M.A.),Master,2,11,Engineering & Architecture,7
150,~01df3a10b82971a712,Bibin,25.00,India,11,Bachelor of Engineering (B.Eng.),Bachelor,3,9,"Web, Mobile & Software Dev",4
151,~01765409d44d04434d,Jen,100.00,Canada,18,"['none', 'none', u'Bachelor of Arts (B.A.)']",None,0,5,Design & Creative,0
152,~01b3fe5e4f2d7180ac,Roxana,25.00,Romania,12,Bachelor's degree,Bachelor,3,13,Writing,2
153,~011ec195dbde7472a0,Denys,37.50,Ukraine,4,"[u'Master of Computer Applications (M.C.A.)', u'Bachelor of Engineering (B.Eng.)']",Master,2,1,"Web, Mobile & Software Dev",4
154,~01092e30ebb0e5cb7a,Sher,35.00,Pakistan,14,BS (CS) Hons. in Computer Sciences,None,0,2,Customer Service,10
155,~0163901584d515e27c,Taras,40.00,Ukraine,4,Bachelors,Bachelor,3,4,"Web, Mobile & Software Dev",4
156,~01313a032948d063a8,Tom,75.00,Canada,18,"[u'Master of Science (M.S.)', u'Bachelor of Science (B.S.)']",Master,2,6,"Web, Mobile & Software Dev",4
157,~01bab5f89456b0cb76,Anil,49.00,India,11,"[u""Master's degree"", u""Bachelor's degree""]",Master,2,3,"Web, Mobile & Software Dev",4
158,~01d3d07c1391c252fe,Mohammad,25.00,Pakistan,14,"[u'Communication Design', u""Associate's degree""]",None,0,4,Design & Creative,0
159,~018ceaa5eceae6c5f1,Alex,35.00,Russia,8,Master of Computer Applications (M.C.A.),Master,2,16,"Web, Mobile & Software Dev",4
160,~01c793e11fbba0a41c,Arman,70.00,Armenia,25,"[u'Doctor of Philosophy (Ph.D.)', u'Master of Computer Applications (M.C.A.)', u'Bachelor of Applied Science (B.A.Sc.)']",Doctorate,1,4,"Web, Mobile & Software Dev",4
161,~015b523c648bd030d4,Vasim,56.25,India,11,Error: No education,None,0,-199,Design & Creative,0
162,~01a8a10f5bd1a080fc,Sohel,40.00,Bangladesh,10,Bachelor's,Bachelor,3,1,IT & Networking,3
163,~011cfacb6d76d6f154,Joe,150.00,Tunisia,15,Error: No education,None,0,0,Sales & Marketing,5
164,~0122209c67eb5b0548,Oleksandr,25.00,Ukraine,4,,None,0,2,Design & Creative,0
165,~012739aebba9ef65e8,Maksym,50.00,Ukraine,4,"[u'Master of Education (M.Ed.)', u'Master of Education (M.Ed.)']",Master,2,0,"Web, Mobile & Software Dev",4
166,~01a77f710bf4822490,Maria,25.00,United Kingdom,3,Bachelor's degree,Bachelor,3,7,Design & Creative,0
167,~011dffeaf207b75753,Naisheel,55.00,India,11,"[u'Master of Technology (M.Tech.)', u'Bachelor of Technology (B.Tech.)']",Master,2,6,"Web, Mobile & Software Dev",4
168,~01e414aeff96797bde,Huang,30.00,China,39,Bachelor of Engineering (B.Eng.),Bachelor,3,1,"Web, Mobile & Software Dev",4
169,~01ff2e68920700531f,Roman,25.00,Ukraine,4,,None,0,3,IT & Networking,3
170,~01cf679691dcc8c2cf,Marko,30.00,Bosnia and Herzegovina,40,Diploma,Associate,5,1,"Web, Mobile & Software Dev",4
171,~01ed54faf3ebb67e47,Matt,50.00,Canada,18,"[u""Associate's degree"", u""Associate's degree""]",Associate,5,2,Design & Creative,0
172,~01010b0f90a427c1c8,Szymon,35.00,Poland,29,Bachelor of Applied Science (B.A.Sc.),Bachelor,3,3,"Web, Mobile & Software Dev",4
173,~018d907e1102ee7143,Elizabeth,35.00,Belarus,19,"['none', u'Bachelor of Arts (B.A.)']",None,0,3,Design & Creative,0
174,~01896159a89f29f88e,Roman,30.00,Ukraine,4,"[u'Master of Science (M.S.)', u'Bachelor of Engineering (B.Eng.)']",Master,2,13,Design & Creative,0
175,~0124fa119c1f6cae12,Aleksandr,35.00,Ukraine,4,Master's degree,Master,2,1,"Web, Mobile & Software Dev",4
176,~01572b6b6d78da0634,Ilya,30.00,Russia,8,Error: No education,None,0,0,Engineering & Architecture,7
177,~01eaa5d8ba3a448bfa,Oksana,33.00,Ukraine,4,"[u""Master's degree"", u""Bachelor's degree""]",Master,2,5,"Web, Mobile & Software Dev",4
178,~017df5675c3b76afd0,Ilia,40.00,Russia,8,system technic engineer,None,0,17,"Web, Mobile & Software Dev",4
179,~01a212e826e2d676ff,Asya,25.00,Russia,8,Bachelor of Applied Science (B.A.Sc.),Bachelor,3,2,Design & Creative,0
180,~015b8d639f264baf08,Vladimir,31.25,Ukraine,4,Master of Computer Applications (M.C.A.),Master,2,7,Data Science & Analytics,6
181,~01516d53f90079161f,JayKisore,64.78,India,11,,None,0,7,Admin Support,1
182,~01deaed835f414eea7,McClellan,66.67,United States,0,"[u'Medical Doctor', u'Master of Engineering, Chemical Engineering', u'Bachelor of Science in Chemical Engineering']",Doctorate,1,26,Engineering & Architecture,7
183,~01346e983150d71218,Laurence,150.00,United States,0,"[u'Other', u'Bachelors']",None,0,42,Legal,11
184,~01017581a28ae2317f,Maria,32.00,United Kingdom,3,"[u'Certificate In Producing', u'Certificate In Acting & Directing']",None,0,16,Design & Creative,0
185,~014fdc794f77c12365,Thomas,35.00,France,41,"[u'Bachelor of Engineering (B.Eng.)', u""Associate's degree""]",Bachelor,3,3,IT & Networking,3
186,~0196f497b0be988157,Denis,43.00,Ukraine,4,,None,0,2,"Web, Mobile & Software Dev",4
187,~01397ac99e9558ec1f,Anthony,25.00,United Kingdom,3,Master of Laws (LL.M.),Professional,4,1,Translation,8
188,~01c2f6098b68b4639c,Matthew,45.00,United Kingdom,3,"[u'Master of Arts (M.A.)', u'Bachelor of Arts (B.A.)']",Master,2,3,Writing,2
189,~012925acd94a38964c,Babu,25.00,Bangladesh,10,,None,0,3,Design & Creative,0
190,~01522d9b89a47cccda,Alexandra,65.00,United States,0,Bachelor's in Communications,Bachelor,3,12,Sales & Marketing,5
191,~010fa5782605308348,Joy,34.99,Philippines,42,"[u""Master's degree"", u'Bachelor of Engineering (B.Eng.)']",Master,2,7,Design & Creative,0
192,~0178df4d9004f82b94,Hovhannes,25.00,Armenia,25,"[u'Bachelor of Business Administration (B.B.A.)', 'none']",None,0,6,"Web, Mobile & Software Dev",4
193,~0156b6b3bfe9ce57fe,Abdelrahman,75.00,Egypt,43,"[u'Bachelor of Medicine, Bachelor of Surgery (M.B.B.S.)', u'Master of Arts (M.A.)']",Master,2,4,Writing,2
194,~01a30197bcfcb6b8ba,Andrey,30.00,Russia,8,Master of Computer Applications (M.C.A.),Master,2,7,"Web, Mobile & Software Dev",4
195,~0180874313b478cbfb,Satt,30.00,Cambodia,44,Bachelor of Engineering (B.Eng.),Bachelor,3,0,Translation,8
196,~01f9944c81f2acd7d2,Dmytro,35.00,Ukraine,4,Master of Computer Applications (M.C.A.),Master,2,0,"Web, Mobile & Software Dev",4
197,~013aee9b659f2e6a4f,Anatolii,31.25,Ukraine,4,"[u'Master of Business Administration (M.B.A.)', u'Bachelor of Applied Science (B.A.Sc.)']",Master,2,5,IT & Networking,3
198,~017329ab94e7088f9a,Igor,25.00,Ukraine,4,Master of Arts (M.A.),Master,2,4,Design & Creative,0
199,~0176450110df3a4d21,Isabelle Anne,37.00,Mozambique,45,"[u""Bachelor's degree"", u'Other']",None,0,1,Writing,2
200,~0137c1102f7fa0dab0,Valeria,25.00,Ukraine,4,Bachelor of Arts (B.A.),Bachelor,3,3,Design & Creative,0
201,~01da9c5aca2b414ed6,Phyllis,55.00,United States,0,Bachelor of Arts (B.A.),Bachelor,3,38,Data Science & Analytics,6
202,~01a74530ebfd918a54,Aminul,100.00,Bangladesh,10,BSc & MSc in Computer Science and Engineering,None,0,8,"Web, Mobile & Software Dev",4
