user_count,gender,age_range,education,,,,,,,,,,,,,,,,,,
7937,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
8900,female,35-44,Less Than High School,,,,,,,,,,,,,,,,,,
9084,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
9851,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
9975,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
10577,male,55-64,Some College or Associate,,,,,,,,,,,,,,,,,,
10643,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
10856,male,65 and older,Bachelor or Higher,,,,,,,,,,,,,,,,,,
10891,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
11079,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
11183,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
11472,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
11666,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
11726,male,20-24,Less Than High School,,,,,,,,,,,,,,,,,,
11953,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
12019,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
12202,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
12426,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
12647,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
12828,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
13698,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
13847,male,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
14144,male,55-64,Some College or Associate,,,,,,,,,,,,,,,,,,
14692,female,35-44,Less Than High School,,,,,,,,,,,,,,,,,,
14694,male,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
14919,female,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
14975,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
15068,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
15736,male,16-19,Bachelor or Higher,,,,,,,,,,,,,,,,,,
16583,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
16727,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
16877,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
17108,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
17647,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
18058,male,20-24,Other,,,,,,,,,,,,,,,,,,
18221,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
18415,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
18698,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
18804,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
19157,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
19383,male,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
19795,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
19910,error,error,Some College or Associate,,,,,,,,,,,,,,,,,,
20170,female,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
20206,female,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
20230,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
20624,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
21032,female,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
21144,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
21246,female,45-54,Some College or Associate,,,,,,,,,,,,,,,,,,
21519,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
21648,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
21993,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
22108,error,error,Bachelor or Higher,,,,,,,,,,,,,,,,,,
22267,male,45-54,Some College or Associate,,,,,,,,,,,,,,,,,,
22368,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
22410,female,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
22790,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
22833,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
23090,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
23271,female,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
23386,male,65 and older,Bachelor or Higher,,,,,,,,,,,,,,,,,,
23680,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
23894,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
24579,female,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
24861,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
25065,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
25279,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
25337,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
25664,male,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
26009,female,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
26658,female,16-19,Less Than High School,,,,,,,,,,,,,,,,,,
26736,male,65 and older,Bachelor or Higher,,,,,,,,,,,,,,,,,,
26923,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
26930,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
27336,female,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
27380,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
27896,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
28110,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
28130,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
28260,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
28374,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
28746,male,16-19,Less Than High School,,,,,,,,,,,,,,,,,,
29226,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
29294,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
29653,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
29736,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
30271,female,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
30420,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
30514,female,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
30699,female,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
31058,female,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
31101,male,45-54,Other,,,,,,,,,,,,,,,,,,
31487,female,25-34,High School,,,,,,,,,,,,,,,,,,
31563,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
31612,female,16-19,Some College or Associate,,,,,,,,,,,,,,,,,,
31615,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
31757,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
32086,male,45-54,Some College or Associate,,,,,,,,,,,,,,,,,,
32270,female,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
32352,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
32521,female,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
32522,female,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
32547,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
32668,female,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
32689,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
33223,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
33366,female,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
33426,male,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
33749,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
34028,male,25-34,High School,,,,,,,,,,,,,,,,,,
34269,female,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
34796,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
34856,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
34909,male,16-19,Less Than High School,,,,,,,,,,,,,,,,,,
34936,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
35004,male,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
35307,female,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
35370,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
36222,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
36325,male,45-54,Other,,,,,,,,,,,,,,,,,,
36509,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
36875,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
36989,female,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
37449,male,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
37778,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
38477,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
38989,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
39181,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
39367,male,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
40186,female,45-54,Some College or Associate,,,,,,,,,,,,,,,,,,
40415,female,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
40912,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
41153,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
41347,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
41805,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
42599,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
43403,female,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
43490,male,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
43837,male,45-54,Some College or Associate,,,,,,,,,,,,,,,,,,
44301,male,65 and older,Bachelor or Higher,,,,,,,,,,,,,,,,,,
44461,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
44798,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
44946,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
45186,female,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
45378,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
45468,female,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
45635,female,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
46261,female,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
47303,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
47344,male,45-54,Some College or Associate,,,,,,,,,,,,,,,,,,
47568,female,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
47792,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
48253,male,55-64,Bachelor or Higher,,,,,,,,,,,,,,,,,,
48698,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
49282,female,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
49638,female,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
49724,female,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
50348,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
50443,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
51114,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
51281,female,45-54,Some College or Associate,,,,,,,,,,,,,,,,,,
51523,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
51950,female,25-34,High School,,,,,,,,,,,,,,,,,,
52607,female,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
52721,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
53059,female,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
53122,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
53774,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
53831,female,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
54007,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
54194,error,error,Bachelor or Higher,,,,,,,,,,,,,,,,,,
54678,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
55425,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
