user_count,skilltest_tenure,hr_tenure,fp_tenure,longest_tenure_type,longest_tenure_days,all_rates,mean_rate,median_rate
28,"[1037, 34, 2]","[964, 32, 2, [49.99, 50.0, 49.99, 49.99, 49.99, 22.22, 37.5, 37.5, 33.33, 22.22, 22.22, 22.22, 22.22], 36.11, 37.5]","[1033, 34, 2, 'None', 'None', 'None']",,0,"[49.99, 50.0, 49.99, 49.99, 49.99, 22.22, 37.5, 37.5, 33.33, 22.22, 22.22, 22.22, 22.22]",36.11,37.5
29,"[1128, 37, 3]","[419, 13, 1, [75.0, 75.0], 75.0, 75.0]","[346, 11, 0, 'None', 'None', 'None']",,0,"[75.0, 75.0]",75.0,75.0
30,"[851, 28, 2]","[101, 3, 0, [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 38.89], 35.49, 35.0]","[711, 23, 1, 'None', 'None', 'None']",,0,"[35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 38.89]",35.49,35.0
31,"[1060, 35, 2]","[971, 32, 2, [40.0, 90.0, 90.0, 90.0, 50.0, 90.0, 75.0, 75.0, 22.0, 50.01, 35.0, 35.0, 35.0, 22.0, 22.0, 15.0, 22.0, 5.0, 13.0, 13.0, 8.0, 5.0, 10.0], 39.65, 35.0]","[1023, 34, 2, 'None', 'None', 'None']",,0,"[40.0, 90.0, 90.0, 90.0, 50.0, 90.0, 75.0, 75.0, 22.0, 50.01, 35.0, 35.0, 35.0, 22.0, 22.0, 15.0, 22.0, 5.0, 13.0, 13.0, 8.0, 5.0, 10.0]",39.65,35.0
32,None,None,None,None,None,[],None,None
33,"[52, 1, 0]",None,None,,0,[],None,None
34,"[53, 1, 0]",None,None,,0,[],None,None
35,None,None,None,None,None,[],None,None
36,"[982, 32, 2]","[235, 7, 0, [18.94, 19.95, 35.0, 19.75, 15.0, 13.33], 20.33, 19.34]","[283, 9, 0, 'None', 'None', 'None']",,0,"[18.94, 19.95, 35.0, 19.75, 15.0, 13.33]",20.33,19.34
37,None,"[103, 3, 0, [95.0, 85.0, 85.0, 85.0, 85.0, 85.0, 65.0], 83.57, 85.0]","[623, 20, 1, 'None', 'None', 'None']",,0,"[95.0, 85.0, 85.0, 85.0, 85.0, 85.0, 65.0]",83.57,85.0
38,None,"[0, 0, 0, [45.0, 49.0, 49.0], 47.67, 49.0]","[682, 22, 1, 'None', 'None', 'None']",,0,"[45.0, 49.0, 49.0]",47.67,49.0
39,None,"[139, 4, 0, [50.0, 50.0], 50.0, 50.0]","[253, 8, 0, 'None', 'None', 'None']",,0,"[50.0, 50.0]",50.0,50.0
40,None,"[656, 21, 1, [35.0, 27.78, 35.0, 35.0, 27.78], 32.11, 35.0]","[726, 24, 1, 'None', 'None', 'None']",,0,"[35.0, 27.78, 35.0, 35.0, 27.78]",32.11,35.0
41,"[372, 12, 1]","[202, 6, 0, [70.0, 90.0, 70.0, 50.0], 70.0, 70.0]","[341, 11, 0, 'None', 'None', 'None']",,0,"[70.0, 90.0, 70.0, 50.0]",70.0,70.0
42,"[582, 19, 1]","[606, 20, 1, [40.0], 40.0, 40.0]","[663, 22, 1, 'None', 'None', 'None']",,0,[40.0],40.0,40.0
43,"[505, 16, 1]","[441, 14, 1, [30.0, 18.0], 24.0, 24.0]","[489, 16, 1, 'None', 'None', 'None']",,0,"[30.0, 18.0]",24.0,24.0
44,"[1329, 44, 3]","[1305, 43, 3, [30.0, 30.0, 30.0, 40.0, 30.0, 30.0, 30.0, 30.0, 30.0, 20.0, 25.0, 25.0, 21.92, 25.0, 15.0], 27.46, 30.0]","[991, 33, 2, 'None', 'None', 'None']",,0,"[30.0, 30.0, 30.0, 40.0, 30.0, 30.0, 30.0, 30.0, 30.0, 20.0, 25.0, 25.0, 21.92, 25.0, 15.0]",27.46,30.0
45,"[605, 20, 1]","[685, 22, 1, [20.0, 8.0, 8.0, 8.0, 15.0, 10.0, 26.67], 13.67, 10.0]","[698, 23, 1, 'None', 'None', 'None']",,0,"[20.0, 8.0, 8.0, 8.0, 15.0, 10.0, 26.67]",13.67,10.0
46,"[790, 26, 2]","[0, 0, 0, [50.0, 37.0], 43.5, 43.5]","[289, 9, 0, 'None', 'None', 'None']",,0,"[50.0, 37.0]",43.5,43.5
47,"[714, 23, 1]","[688, 22, 1, [20.0, 16.67, 27.78, 22.22, 12.23], 19.78, 20.0]","[573, 19, 1, 'None', 'None', 'None']",,0,"[20.0, 16.67, 27.78, 22.22, 12.23]",19.78,20.0
48,"[906, 30, 2]","[878, 29, 2, [35.0, 35.0, 35.0, 30.0, 35.0, 30.0, 35.0, 35.0, 35.0, 35.0], 34.0, 35.0]","[821, 27, 2, 'None', 'None', 'None']",,0,"[35.0, 35.0, 35.0, 30.0, 35.0, 30.0, 35.0, 35.0, 35.0, 35.0]",34.0,35.0
49,None,"[0, 0, 0, [125.0, 125.0], 125.0, 125.0]","[161, 5, 0, 'None', 'None', 'None']",,0,"[125.0, 125.0]",125.0,125.0
50,"[244, 8, 0]","[0, 0, 0, [20.0, 40.0], 30.0, 30.0]","[250, 8, 0, 'None', 'None', 'None']",,0,"[20.0, 40.0]",30.0,30.0
51,"[319, 10, 0]","[0, 0, 0, [100.0, 90.0], 95.0, 95.0]","[152, 5, 0, 'None', 'None', 'None']",,0,"[100.0, 90.0]",95.0,95.0
52,"[278, 9, 0]","[226, 7, 0, [80.0, 30.0], 55.0, 55.0]","[290, 9, 0, 'None', 'None', 'None']",,0,"[80.0, 30.0]",55.0,55.0
53,"[341, 11, 0]","[174, 5, 0, [100.0, 99.99, 50.0, 99.99], 87.5, 99.99]","[286, 9, 0, 'None', 'None', 'None']",,0,"[100.0, 99.99, 50.0, 99.99]",87.5,99.99
54,"[199, 6, 0]","[0, 0, 0, [30.0], 30.0, 30.0]","[194, 6, 0, 'None', 'None', 'None']",,0,[30.0],30.0,30.0
55,"[473, 15, 1]","[334, 11, 0, [75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 62.5, 75.0, 62.5, 62.5], 72.32, 75.0]","[356, 11, 0, 'None', 'None', 'None']",,0,"[75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 62.5, 75.0, 62.5, 62.5]",72.32,75.0
56,"[355, 11, 0]","[472, 15, 1, [40.0, 40.0, 30.0, 35.0, 30.0, 30.0, 25.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0], 31.18, 30.0]","[622, 20, 1, 'None', 'None', 'None']",,0,"[40.0, 40.0, 30.0, 35.0, 30.0, 30.0, 25.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]",31.18,30.0
57,"[544, 18, 1]","[545, 18, 1, [35.0, 20.0, 25.0, 20.0, 20.0, 20.0, 20.0, 15.0, 10.0, 5.0], 19.0, 20.0]","[583, 19, 1, 'None', 'None', 'None']",,0,"[35.0, 20.0, 25.0, 20.0, 20.0, 20.0, 20.0, 15.0, 10.0, 5.0]",19.0,20.0
58,"[384, 12, 1]","[0, 0, 0, [12.5, 12.5, 12.5, 12.5, 12.5, 22.22], 14.12, 12.5]","[624, 20, 1, 'None', 'None', 'None']",,0,"[12.5, 12.5, 12.5, 12.5, 12.5, 22.22]",14.12,12.5
59,"[173, 5, 0]","[464, 15, 1, [50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 30.0, 50.0], 47.5, 50.0]","[656, 21, 1, 'None', 'None', 'None']",,0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 30.0, 50.0]",47.5,50.0
60,"[565, 18, 1]","[513, 17, 1, [40.0, 40.0, 30.0, 20.0], 32.5, 35.0]","[644, 21, 1, 'None', 'None', 'None']",,0,"[40.0, 40.0, 30.0, 20.0]",32.5,35.0
61,"[202, 6, 0]","[852, 28, 2, [30.0, 23.0, 23.0, 22.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 22.0, 22.0, 23.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 30.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 25.0, 22.0, 20.82, 22.0, 22.0, 30.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 30.0, 22.0, 20.0, 20.0, 22.0, 22.0, 22.0, 20.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 20.0, 20.0, 20.0, 20.0, 18.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0], 22.06, 22.0]","[865, 28, 2, 'None', 'None', 'None']",,0,"[30.0, 23.0, 23.0, 22.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 22.0, 22.0, 23.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 30.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 25.0, 22.0, 20.82, 22.0, 22.0, 30.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 30.0, 22.0, 20.0, 20.0, 22.0, 22.0, 22.0, 20.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 20.0, 20.0, 20.0, 20.0, 18.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",22.06,22.0
62,"[102, 3, 0]","[55, 1, 0, [70.0, 70.0, 70.0, 70.0, 70.0], 70.0, 70.0]","[93, 3, 0, 'None', 'None', 'None']",,0,"[70.0, 70.0, 70.0, 70.0, 70.0]",70.0,70.0
63,"[423, 14, 1]",None,"[321, 10, 0, 'None', 'None', 'None']",,0,[],None,None
64,None,"[0, 0, 0, [75.0, 55.0], 65.0, 65.0]","[68, 2, 0, 'None', 'None', 'None']",,0,"[75.0, 55.0]",65.0,65.0
65,"[2227, 74, 6]","[2003, 66, 5, [45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 60.0, 60.0, 85.0, 35.0, 65.0, 55.0, 85.0, 45.0, 25.0], 51.88, 45.0]","[2144, 71, 5, 'None', 'None', 'None']",,0,"[45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 60.0, 60.0, 85.0, 35.0, 65.0, 55.0, 85.0, 45.0, 25.0]",51.88,45.0
66,"[227, 7, 0]","[179, 5, 0, [45.0, 35.0, 55.0, 35.0], 42.5, 40.0]","[219, 7, 0, 'None', 'None', 'None']",,0,"[45.0, 35.0, 55.0, 35.0]",42.5,40.0
67,"[80, 2, 0]","[34, 1, 0, [30.0, 50.0, 30.0, 38.0, 30.0, 30.0], 34.67, 30.0]","[0, 0, 0, 'None', 'None', 'None']",,0,"[30.0, 50.0, 30.0, 38.0, 30.0, 30.0]",34.67,30.0
68,None,"[52, 1, 0, [45.0, 100.0, 10.0, 45.0, 45.0, 105.0], 58.33, 45.0]","[45, 1, 0, 'None', 'None', 'None']",,0,"[45.0, 100.0, 10.0, 45.0, 45.0, 105.0]",58.33,45.0
69,None,"[0, 0, 0, [70.0], 70.0, 70.0]","[66, 2, 0, 'None', 'None', 'None']",,0,[70.0],70.0,70.0
70,"[864, 28, 2]","[158, 5, 0, [16.0, 16.0, 35.0, 16.0, 40.0, 15.0], 23.0, 16.0]","[127, 4, 0, 'None', 'None', 'None']",,0,"[16.0, 16.0, 35.0, 16.0, 40.0, 15.0]",23.0,16.0
71,"[485, 16, 1]","[230, 7, 0, [65.0, 40.0, 49.0, 69.0, 49.0, 68.0, 33.0, 68.0, 65.0], 56.22, 65.0]","[152, 5, 0, 'None', 'None', 'None']",,0,"[65.0, 40.0, 49.0, 69.0, 49.0, 68.0, 33.0, 68.0, 65.0]",56.22,65.0
72,"[419, 13, 1]","[192, 6, 0, [25.0, 25.0, 22.0], 24.0, 25.0]","[415, 13, 1, 'None', 'None', 'None']",,0,"[25.0, 25.0, 22.0]",24.0,25.0
73,"[555, 18, 1]","[520, 17, 1, [30.0, 35.0, 44.0, 25.0, 30.0], 32.8, 30.0]","[545, 18, 1, 'None', 'None', 'None']",,0,"[30.0, 35.0, 44.0, 25.0, 30.0]",32.8,30.0
74,None,"[342, 11, 0, [40.0, 35.0, 40.0, 35.0], 37.5, 37.5]","[333, 11, 0, 'None', 'None', 'None']",,0,"[40.0, 35.0, 40.0, 35.0]",37.5,37.5
75,None,"[191, 6, 0, [55.0, 50.0, 50.0, 50.0, 20.0, 50.0, 35.0, 40.0, 20.0, 20.0, 30.0, 20.0, 20.0, 20.0, 15.0, 10.0, 15.0], 30.59, 20.0]","[204, 6, 0, 'None', 'None', 'None']",,0,"[55.0, 50.0, 50.0, 50.0, 20.0, 50.0, 35.0, 40.0, 20.0, 20.0, 30.0, 20.0, 20.0, 20.0, 15.0, 10.0, 15.0]",30.59,20.0
76,"[210, 7, 0]","[191, 6, 0, [30.0, 30.0, 25.0, 30.0, 30.0, 25.0, 30.0, 30.0, 30.0, 30.0, 25.0, 15.0, 15.0], 26.54, 30.0]","[190, 6, 0, 'None', 'None', 'None']",,0,"[30.0, 30.0, 25.0, 30.0, 30.0, 25.0, 30.0, 30.0, 30.0, 30.0, 25.0, 15.0, 15.0]",26.54,30.0
77,None,"[174, 5, 0, [35.0, 25.0, 30.0, 35.0, 16.5, 12.5, 30.0], 26.29, 30.0]","[178, 5, 0, 'None', 'None', 'None']",,0,"[35.0, 25.0, 30.0, 35.0, 16.5, 12.5, 30.0]",26.29,30.0
78,None,"[0, 0, 0, [80.0], 80.0, 80.0]","[57, 1, 0, 'None', 'None', 'None']",,0,[80.0],80.0,80.0
79,"[55, 1, 0]","[58, 1, 0, [80.0, 62.5], 71.25, 71.25]","[59, 1, 0, 'None', 'None', 'None']",,0,"[80.0, 62.5]",71.25,71.25
80,"[601, 20, 1]","[574, 19, 1, [23.0, 25.0, 26.0, 27.0, 23.0, 26.0, 27.0, 26.0, 23.0, 20.0, 25.0, 27.0, 25.0, 24.0, 26.0, 23.0, 26.0, 26.0, 25.0, 24.0, 25.0, 23.0, 24.0, 19.0, 20.0, 21.0, 23.0, 20.0, 20.0, 20.0, 20.0, 15.0, 20.0, 20.0, 23.0, 20.0, 23.0, 16.0, 15.0, 20.0, 16.0, 9.0], 22.12, 23.0]","[541, 18, 1, 'None', 'None', 'None']",,0,"[23.0, 25.0, 26.0, 27.0, 23.0, 26.0, 27.0, 26.0, 23.0, 20.0, 25.0, 27.0, 25.0, 24.0, 26.0, 23.0, 26.0, 26.0, 25.0, 24.0, 25.0, 23.0, 24.0, 19.0, 20.0, 21.0, 23.0, 20.0, 20.0, 20.0, 20.0, 15.0, 20.0, 20.0, 23.0, 20.0, 23.0, 16.0, 15.0, 20.0, 16.0, 9.0]",22.12,23.0
81,"[775, 25, 2]","[708, 23, 1, [40.0, 35.0, 45.0, 45.0, 35.0, 35.0, 45.0, 45.0, 35.0, 45.0, 45.0, 45.0, 40.0, 45.0, 35.0, 35.0, 30.0, 25.0, 25.0, 35.0, 30.0], 37.86, 35.0]","[620, 20, 1, 'None', 'None', 'None']",,0,"[40.0, 35.0, 45.0, 45.0, 35.0, 35.0, 45.0, 45.0, 35.0, 45.0, 45.0, 45.0, 40.0, 45.0, 35.0, 35.0, 30.0, 25.0, 25.0, 35.0, 30.0]",37.86,35.0
82,"[786, 26, 2]","[40, 1, 0, [50.0, 20.0, 50.0, 50.0, 50.0, 30.0, 28.0], 39.71, 50.0]","[773, 25, 2, 'None', 'None', 'None']",,0,"[50.0, 20.0, 50.0, 50.0, 50.0, 30.0, 28.0]",39.71,50.0
83,"[656, 21, 1]","[116, 3, 0, [75.0, 75.0, 45.0, 45.0, 35.0, 25.0], 50.0, 45.0]","[45, 1, 0, 'None', 'None', 'None']",,0,"[75.0, 75.0, 45.0, 45.0, 35.0, 25.0]",50.0,45.0
84,"[451, 15, 1]","[207, 6, 0, [25.0, 15.0, 20.0], 20.0, 20.0]","[441, 14, 1, 'None', 'None', 'None']",,0,"[25.0, 15.0, 20.0]",20.0,20.0
85,"[1358, 45, 3]",None,"[1412, 47, 3, 'None', 'None', 'None']",,0,[],None,None
86,"[54, 1, 0]","[32, 1, 0, [45.0, 92.0, 75.0], 70.67, 75.0]","[34, 1, 0, 'None', 'None', 'None']",,0,"[45.0, 92.0, 75.0]",70.67,75.0
87,None,"[265, 8, 0, [30.0, 110.0, 110.0, 80.0, 110.0, 90.0, 90.0, 25.0, 25.0, 15.0], 68.5, 85.0]","[281, 9, 0, 'None', 'None', 'None']",,0,"[30.0, 110.0, 110.0, 80.0, 110.0, 90.0, 90.0, 25.0, 25.0, 15.0]",68.5,85.0
88,"[1696, 56, 4]","[296, 9, 0, [36.0, 30.0, 36.0, 30.0, 30.0, 45.0, 45.0, 45.0], 37.13, 36.0]","[293, 9, 0, 'None', 'None', 'None']",,0,"[36.0, 30.0, 36.0, 30.0, 30.0, 45.0, 45.0, 45.0]",37.13,36.0
89,None,"[71, 2, 0, [135.0, 100.0, 65.0, 15.0], 78.75, 82.5]","[69, 2, 0, 'None', 'None', 'None']",,0,"[135.0, 100.0, 65.0, 15.0]",78.75,82.5
90,"[352, 11, 0]","[120, 4, 0, [25.0, 25.0, 28.0, 31.25, 25.0, 25.0, 28.49], 26.82, 25.0]","[346, 11, 0, 'None', 'None', 'None']",,0,"[25.0, 25.0, 28.0, 31.25, 25.0, 25.0, 28.49]",26.82,25.0
91,"[824, 27, 2]","[628, 20, 1, [30.0, 35.0, 35.0, 30.0], 32.5, 32.5]","[726, 24, 1, 'None', 'None', 'None']",,0,"[30.0, 35.0, 35.0, 30.0]",32.5,32.5
92,"[226, 7, 0]","[137, 4, 0, [15.0], 15.0, 15.0]","[220, 7, 0, 'None', 'None', 'None']",,0,[15.0],15.0,15.0
93,"[76, 2, 0]",None,"[73, 2, 0, 'None', 'None', 'None']",,0,[],None,None
94,"[1508, 50, 4]","[1373, 45, 3, [20.0, 20.0, 20.0, 20.0, 20.0, 11.11, 5.56], 16.67, 20.0]","[1486, 49, 4, 'None', 'None', 'None']",,0,"[20.0, 20.0, 20.0, 20.0, 20.0, 11.11, 5.56]",16.67,20.0
95,"[1707, 56, 4]",None,"[975, 32, 2, 'None', 'None', 'None']",,0,[],None,None
96,"[89, 2, 0]","[164, 5, 0, [30.0, 32.0, 35.0, 30.0, 30.0, 30.0, 30.0, 20.0, 20.0, 30.0, 35.0, 29.0, 30.0, 35.0, 35.0, 45.0, 30.0, 40.0], 31.44, 30.0]","[244, 8, 0, 'None', 'None', 'None']",,0,"[30.0, 32.0, 35.0, 30.0, 30.0, 30.0, 30.0, 20.0, 20.0, 30.0, 35.0, 29.0, 30.0, 35.0, 35.0, 45.0, 30.0, 40.0]",31.44,30.0
