institution,comment,degree
Silverado High School,"I am self taught, I don't know why Upwork requires this field.  So much information available online, with work anyone can become an expert in this field.",Associate's degree
Raytown High School,,High school degree
Marcus High School,,
Mukwonago High School,Specialized in the building trades.  Built my first program my freshman year.,High School
Juanita High School,,High school degree
Liberty High School,,High school degree
Catalina Foothills High School,,High school degree
Birmingham Seaholm High School,,High school degree
Hermiston High School,,
Green High School,,High school degree
Westminster High School,,High school degree
Sandalwood High School,,High school degree
Starkville High School,,High school degree
Woodstock High School,,High school degree
Penn Foster High School,,High school degree
Robert E Lee High school,,High school degree
West Warwick High School,,High school degree
Kentwood Senior High School,Graduated. Class of 2001.,
Cedar Falls High School,,
Franklin High School,,
Spalding High School,,High school degree
Dacula High School,,High school degree
Troy High School / Hudson Valley Community College,,Associate's degree
West Warwick Senior High School,,High school degree
Excel High School (Online),"I was the only student to take this specific online schooling for a college just opening. Kind of like a test subject, and graduated within a year. (Highly Recommend)",High school degree
Fenton High School,,High school degree
Calumet High School,,High school degree
Alvin High School,,High school degree
Cypress Springs High School,,
West side high school,,High school degree
Grayson Technical High School/Faith Academy,,High school degree
Perry High School,"2 year vocational program for Juniors and Seniors, learning accounting and word processing.",High school degree
Jenks High School,,
Capital High School,,High school degree
Farmington High School,Capstone - E-commerce Entrepreneurship,
Warren County High School,"In high school, I was in Advanced Placement classes for College and was on the newspaper staff as well as Vice President of the Youth Board.

I also won Third Place in a State Speakers Contest for the Virginia Lung Association.",High School
Liberty High School,,
Yucca Valley High School,,High school degree
Ridge Point High School,,High school degree
Northside High School,,
Harvard High School,,Bachelor of Engineering (B.Eng.)
Rockhurst High School,,High school degree
High School,,
Bradford High School,,High School
Kettering High School,Heavily participated in Honors courses and extracurricular activities. Graduated in the top 5% of my class with Honors. Fell in love with any mathematics and computer courses I took.,Diploma
Milton High School,,High School
V. Sue Cleveland High School,,High school degree
Daleville High School,,High school degree
Pinellas Park High School,,High school degree
Hereford High School,,
"Cordillera de las Condes High school, Chile",One of the best High school in Chile. I ended up among the 3 best of the class.,High school degree
Jacobs High School,,
Tipton High School,"Core-40 Honors, Quill and Scroll Recipient, Top 3% of class ",High school degree
Westminister High School,,
Winchester High School,,
Randolph High School,,
Merritt Island High School,,
Brooks County High School,Class of 2005 Valedictorian,High school degree
Clovis East High School,,High school degree
Union High School,,High school degree
St Albans High School for Girls,"GCSE - French A, Fine Art A*, History A, Spanish A, Biology A, Math B, English 1 A, English 2 B,  Chemistry B, Physics B, 

Advance Subsidiary -  Art A, French A, History C, Spanish C, Biology C

Advance Supplemental - Art A, French A, History C

Gold - Crest Award for Engineering

Young Enterprise - National 3rd Place

Westonbirt Science Award Recipient for Soil project

CLAIT and IBT computer certifications. 

Received school awards in Art, Pottery, History, Science, Creativity, Fencing, Swimm",High School
"Lutheran High School North, St. Louis, Missouri, USA",,High School
North High School,,High school degree
Pelham High School,Typical mid 1980's high school curiculum. No technology classes were offered. No computer classes were yet offered.,High School
Gregory Portland High School,,High School
Norwich High School,,Diploma
Berea High School,Completed High School.,High school degree
St. Hugh’s High School,"Communication Studies
Management of Business 
",Caribbean Advance Proficiency Exam (CAPE)
St. Hugh’s High School,"English Language		
English Literature		
Information Technology 	
Principles of Accounts	
Mathematics			
History 			
Visual Arts			
",Caribbean Examination Council (C.X.C)
Stephen T Badin High School,,Diploma
Private High School,Graduated with honors from an exclusive private highschool,High school degree
Hollywood High School,,Diploma
Clarksville Senior High School,,High school degree
Columbia Falls High School,"Valedictorian of Class, Graduated 4.0 gpa.",High School Diploma
Point Loma High School,,High school degree
William Beamont High School,,
Cle Elum High School,,High school degree
Rio Vista High School,,
Moline Senior High School,High School Graduate,
West Bloomfield High School,,High school degree
Buffalo High School,,High school degree
Amakim - Tavor High School,,High school degree
Newington High School,,High school degree
Umatilla High School,,
Chariho High School,,High school degree
Boardman High School,,High school degree
"Lafayette County High School-Higginsville, MO",High School diploma and Career Academy Broadcast diploma.,High School
Saegertown High School,,High school degree
Harrison High School,,
Austin High School,,High School
Red Oak High School,,
Ridgeview High School,,High school degree
West High School,,
Cy-Fair High School,,High School
Aztec High School,,High school degree
Manchester High School,,High school degree
SAVE High School,,High school degree
Central High School,,
Lacey Township High School,,High school degree
Hermitage High School,,High school degree
Pleasant Valley High School,,
Hillgrove high school,high school,Associate's degree
Palistine Wheatly High School,,
Jefferson City High School,,
central bucks high school east,,
Swartz Creek High School,,High school degree
Sylhet Govt. Pilot High School,,High School
Marina High School,,
bkhigh school,,Bachelor of Education (B.Ed.)
Absegami High School,,High school degree
High School,,
Interlake High School,,
Harlingen High School,,High school degree
South Kitsap High School,,High school degree
Millard West High School,,
Danbury High School,,High school degree
Desert Mountain High School,"You must be thinking. This kid lacks formal education. Can he handle my task? Let my studies and application of The Boron Letters, 7 Steps To Freedom II, and many other works of the greats of copywriting serve you to bring your dreams into fruition.",High school degree
Battle Ground High School,,
Olde Mill High School,"•	Vocational Training/Certificate– Information Systems Technology
•	Vocational Training/Certificate– Desktop Publishing,",High school degree
High School,,
Bishop Moore Catholic High School,Graduated with honors,High school degree
Foster High School,,
Anchor Bay High School,,High school degree
Holton High School,,High school degree
Lake Havasu High School,Graduated taking Honors Chemistry and 4.0 GPA,
Spanish River High School,,High school degree
Christopher Columbus High School,,
Coronado High School,,
Air Academy High School,,High school degree
G. Holmes Braddock Senior High School,,
Spring Valley High School,,High school degree
Venus High School,"It was High School, It was awesome, I just wish I would have realized it at the time. Student Body President in 1995, Teachers Aid in Computer Lit. classes and Wood Shop, two total opposites, and I specialize in both, now I just need to figure out how to build a wood paneled CPU, that isn't a fire hazard...",High school degree
Norcross High School,,
Providence Hall High School,I do not have a degree because I am still in high school.,
Halls High School,,
Cleveland High School For Digital Arts,,High school degree
Rio Linda High School,"Hands-on field training with professional A/V equipment, led by instructor with 20 years in the broadcasting industry. Working on interpersonal skills for media production. Studied recording technology, best real-world recording practices, basic film theory, and the history of the broadcasting industry.",
Carrbor High School,,High school degree
Windsor High School,I am a high school freshman but I am highly intelligent. I am planing on starting college soon so i am using this as a way to earn money for my tuition and textbooks.,
Hebron High School,Graduated from Hebron High School June 2016. Completed three semesters of Graphic Design training at Career Center East.,High school degree
North Platte High School,,
West Roxbury High School,,High school degree
Leominster High School,,
Hampton High School,,High school degree
Vista Ridge High School,,High school degree
Narbonne High School,,High school degree
Mamaroneck High School,,
lake zurich high school,,High school degree
Willingboro high school,,High school degree
Barrington High School,,High school degree
Plainview High School,"Studied photography at the New School,  Have owned my own business from 1976 thru 2017",
Bemidji High School,,High school degree
Sandia High School,,High school degree
Hastings High School,,High school degree
wasco union high school,,
Newark Senior High School,,
desert rose high school,,High school degree
GlenOak High School,,
Plainfield High School,,
Peabody High School,,High school degree
Gentry High School,,High school degree
John Rundle High School,,High school degree
Alvirne High School,,
Methuen High School,,High school degree
Depew High School,,High school degree
Linden High School,I got an internship right out of high school. I was able to learn on the job and save the cost of college. But still learned everything from my mentors.,
Liberty County High School,,High school degree
Moline Sr High School,,High school degree
Cumberland High School,,High school degree
Pawling SR. High School,,Associate's degree
Northwest High School,,High school degree
Pasadena High School,,High school degree
Mukwonago High School,"Graduated in top 10% of the class, GPA of 3.8.
 From 1st to 11th grades I studied in St.Petersburg, Russia, and the final school year took place in USA.

 Among others I took classes of Graphic Design, Photography, Advanced Acting and Computer Programming. Knowledge I got from them was a fine addition to my 3D modelling and animation self-learning.",High school degree
Germantown High School,,High school degree
Union City High School,,
Opelika High School,,High school degree
Forsyth Central High School,,High school degree
Orange Park High School,,High school degree
Humble High School,,
WestPort High School,,High school degree
Antioch High School,,
Sachse High School,High School,
Walter Johnson High School,,High school degree
Enumclaw High School,,
Holy Names High School,,Diploma
South Windsor High School,,High school degree
Ibin Sina High School,"JAVA programming and Android Application Development using eclipse with Android SDK.
Lite HTML, JAVASCRIPT, and CSS programming.",High school degree
Chester W Nimitz Senior High School,,High school degree
Lyons High School,"3.8 GPA
Debate & Forensics Team Captain
Foreign Exchange Student
Spanish Club Founder
Science Club Member
Student Council Member
JROTC Head of Communication
FCCLA State competitor",High school degree
Skyview High School,,High school degree
Cambridge-South Dorchester High School,,High school degree
Carrizo Springs High School,,High school degree
Cordova High School,,
Redbank Valley High School,,
neptune high school,,
Rockingham Early College High School,,High school degree
Turners Falls High School,,
Potomac Falls High School,,High school degree
Pioneer High School,,
Santa Susana High School ,,
Fox Lane High School,,
Roosevelt High School,,
High School,,High school degree
Grand Saline High School,"Psychology Certificate
Newpaper Reporter
Leadership Student",High school degree
Crater High School,,High school degree
hamden high school,,
Cattaraugus Central High School,,High school degree
Middletown High School,,High school degree
Doss High School,,
poughkeepsie high school,,High school degree
Alpharetta High School,,High school degree
North Stafford High School,,High school degree
Ashbrrok High School,It was High school!,High school degree
Revival Hill High School,,High school degree
"Western High School, Anaheim, California",My undying passion for technology has driven my success.,High school degree
Port Neches-Groves High School,,High school degree
pottsgrove high school,went to VoTech,
San Mateo high school,,
Biloxi High School,Took C++ and C++ Advanced,High school degree
East Bakersfield High School,3.8 GPA all AP/Honors classes,High school degree
Bixby High School,,
Dundalk High School,,High school degree
Millard North High School,,High school degree
Greece Olympia High School,General HS program with college level math and science.,
Central High School,"40,000+ hours learning and practicing information technology.",High school degree
Kailua High School,,High school degree
Timber Creek High School,,High school degree
Niwot High School,,High school degree
Pershing County High School,,High school degree
Madison High School,,High school degree
Newport Harbor High school,,
Wilkinson County High School,,
Howard high School,,High school degree
High School,,High school degree
Saugus High School,,High school degree
Performing Arts High School,"Graduated Salutatorian

First Assistant Director, Yearbook Editor, Student Government Secretary",
Springstead High School,"I attended Springstead High School and was enrolled in the Web Design Academy throughout my high school career. I was the Editor in Chief of the yearbook and won multiple national awards for the school with our publication. In 2013, I graduated with honors and dual enrolled in college.",
Kentlake High School,,
U.S. Grant High School,,
seven lakes high school,,
Chino Hills High School,,High school degree
George Washington high school,,High school degree
James Monroe High School,,High school degree
Winterboro High School,,High school degree
New Rochelle high school,,High school degree
Oshkosh West High School,,High school degree
Fossil Ridge High School,,
Stillwater High School,,High school degree
Jimtown High School,,
Munford High School,,
North Port High School,,High school degree
Timken Senior High School,"high school elective that taught us advanced compostion and structuring, light and shading techniques, art history, painting techniques, color theory... as well as the vast media available. i pick up digital design and illustration in my home in my own spare time, and i have used several digital art programs on my digital art monitor/pc.",
Souers Jr. High School,this was an elective art class in junior high school that taught us the basics of art theory and composition.,
Cocke County High School,,
Victoria Park High School,,High school degree
Chico High School,,High school degree
Long Island High School of the Arts,,High school degree
grant high school,,
High School,,High school degree
Hyde Park High School,,High school degree
Westbrook High School,,High school degree
Perrysburg High School,,High school degree
Oberlin High School,,High school degree
Ronald Reagan High School,Graduated cum laude.,
Union Hill High School,,High school degree
Perry Meridian High School,,
"Warwick High School- Newport News, VA",,
Fife High School,Fulfilled all requirements to receive high school diploma with honors. Writer of the Year nominee. Special recognition for outstanding dedication to fine arts courses in writing and literature.,High school degree
Thomas Jefferson High School,,High school degree
Herlong High School,,High school degree
Herlong High School,,High school degree
Coral Springs Academy High School,College preparatory school.,High school degree
Varina High School,,High school degree
Deerfield High School,,High school degree
Hernando High School,Art and concept of drawing. illustration - traditional.,
Jefferson Township High School,"Word Processing 
Communication
Web Design 
Into to Business",High school degree
Louisiville Male High School,,High school degree
St. Patrick - St. Vincent High School,,
Lake Travis High School,,High school degree
Grand Junction High School,Earned high school diploma,
Penfield High School,,
Saguaro High School,,High school degree
Antioch High School,,
Carroll County High School,,High school degree
Central High School,,High school degree
Mustang High School,,
Pennridge High School,,
Hawthorne Middle/High School,,
Fullerton Union High School,,High School
Tahlequah Sr. High School,,High school degree
John McEachern High School,,
Valley Center High School,Graduated with Diploma,
Ocean Springs High School,,High school degree
Marist High School,,High school degree
Bolingbrook High School,,High school degree
"Southgate High School, Southgate, Michigan",,
Passaic High School,,High school degree
Jamaica High School,,
Washington County Technical High School,,
Leander High School,,
Land O Lake High School,,
Wilbur Cross High School,,
Medford High School,,High school degree
Calico Rock High School,,High school degree
Holmwood Technical High School,,High school degree
Benson Polytechnic High School,"Top of my class, trained architect CAD, worked for an firm because of my abilities",
Valley stream South High School,,High school degree
Bingham High School,,
Liberty High School,,High school degree
George Marshall High School,,High school degree
Santiago High School,,High school degree
Paso Robles High School,,High school degree
Model High School,,
Glen A Wilson High School,,High school degree
Iowa City High School,"Many different high-school level Art classes, as well as some sales of my artwork.",
Lake Dallas High School,"I took advanced placement classes for all for years, regarding directly to computer science and web development, and design.",High school degree
Piper High School,,
Boulder Creek High School,,High school degree
Burlington High School,,High school degree
Bishop Heelan Catholic High School,,
Parchment High School,,
El Camino High School,,High school degree
"Kwajalein High School, Marshall Islands",,High school degree
Cedar Creek High School,,High school degree
Westside High School,,High school degree
Croswell-Lexington High School,High School Diploma,
Trabuco Hills High School,,High school degree
Canyon High School,,
Robinson High school,,High school degree
Vernon Township High School,,High school degree
Darien High School,,
high school,,
Frnacis Howell North High School,Have some college credit hours. Will return & receive my degree in Business Administration.,High school degree
Eldon High School,Attended Columbia College and completed 39 hours in accounting and business management courses,High school degree
Lincoln-Sudbury Regional High School,,
Middletown High School,,
Granger High School,,
Guymon High School,,
Franklin High School,,
Raoul Wallenberg Traditional High School,,High school degree
Franklin High School,"After having various careers I decided to start my own business and have been self-employed since 1989. I have had some college, and industry seminars.",High school degree
Wilde Lake High School,,High school degree
Sherwood High School,,
Bryant High School,,High school degree
Lee's Summit High School,,High school degree
Skyline High School,,High school degree
Poinciana High School,,High school degree
New Plymouth High school,,
Flushing High School,,
Crater High School,,High school degree
Eisenhower High School,,
Pennsbury High School,,High school degree
Ellsworth High School,,
highland high school,,
Westside High school,,High school degree
Chesterton High school,,
Corona High School,,
Little Chute High School,,High school degree
Byron Center High School,,
Riverview High School,,High school degree
Lyons Township High School,,
Eisenhower High School,,
Harnett Central High School,,High school degree
Irving High School,,High school degree
Leon High School,,High school degree
Gibbs High School,,High school degree
Mclean High School,,High school degree
Mount si high school,4 years of advanced art classes,High school degree
Bradley Central High School,,High school degree
El Dorado High School,,
Fergus High School,,
"Libby High School   Libby, Montana","GPA: 3.0
Extra-curricular activities included Educational Assistant/Swing Choir/Speech & Drama",High school degree
Emerson High School,"Graduated from Emerson High School, Class of 2011, in the top third percentile with Honor Roll in English and Mathematics.",High school degree
St Croix Lutheran High School,,High school degree
High School,,High school degree
Aliso Niguel High School,,
Cottonwood High School,,High school degree
Tracy High School,,
St mary technical high school,This is a field in which i had to grasp several different business related concepts to assure myself a good business education,
Plaquemine Senior High School,,High school degree
Patrick Henry High School,,High school degree
Enid High School,,
Lebanon High School,,
Schillerska High School,,High school degree
high school /  some college,,
Whitmer High School,,
Marana High School,,
West Windsor Plainsboro High School North,,High school degree
High School of Art & Design,,High school degree
Stony Point High School,I successfully completed High School and received my diploma.,
Northern Valley Regional High School at Demarest,"Graduated Summa Cum Laude with a grade point average of 4.33, in the top 10 percent of the graduating class",High school degree
Lockhart High school,High School Diploma,
Chamblee Charter High School,,
Kimball Area High School,High School Graduate,
Joel Barlow High School,,
Powers Catholic High School,,High school degree
Atherton High School,,High school degree
Smoky Hill High School,,High school degree
Union High School,,High school degree
High school degree,,High school degree
Central High School,Graduated high school with a 3.5 GPA,High School
Hillwood High School,I graduated from this high school in the top 25% of my clas,High School
Geneva High school,I went to this school for two years before transferring to a school in Tennessee,High School
Minnesota Online High School,(While in California),
Burnsville High School,Minnesota,
Los Angeles County High School for the Arts,Fulfilled a high school degree while taking classes in music,High school degree
Davie County High School,,
Frank H. Peterson High School,"High School education was the catalyst to my career in the creative arts. Peterson was a vocational school that taught the core principles of the digital arts professions. I was in the Communications program, taught by teachers who still worked in the design profession.

Within the program, I earned my 'Commercial Arts OCP A,B,&C' and 'New Media and Digital Imaging OPC B'.",High school degree
Western High School,I studied college prep classes and graduated with high honors from my high school.,High School
Scarsdale High School,"I graduated from an academically-focused, nationally reputed High School located in Scarsdale, New York.

During my tenure I took on college-level work, as well as self-funded supplemental tutoring in Computer Graphics and an independent study in Computer Animation.

I earned a 5 (highest) on my AP exams for BC Calculus and Computer Science and a 4 on my AP Statistics exam. In addition I earned a 35 on my ACT (99th percentile)",High school degree
Carl Hayden High School,,
High School Graduate,,
Dallastown Area High School,,High School
Maury High School,,
Maury High School,,
Saint Ignatius High School,,High school degree
Central High School,,High school degree
Garfield-high school,,High school degree
Lane Tech High School,,
Myers Park High School,,
Glendale High School,,
Marshfield High School,,
Cactus High School,,High school degree
Washington County Technical High School,,High school degree
Conroe High School,,High school degree
Portage Area High School,Graduated 3rd in class with 9 College Credits,High school degree
Camelback High School,,High school degree
Montbello High School,,
Abraham Lincoln High School,,
Lopez High School,,
Bay High School,,High school degree
"Greenville Senior High School of Law, Business, and Finance",Received a high school education along with special education in the field of Law through Magnet Program.,High school degree
Cypress Ranch High School,,High school degree
MIAMI DADE HIGH SCHOOL,,High school degree
McDowell High School,,High school degree
Glencliff Comprehensive High School,,
Pacifica High School,,High school degree
Irving Crown High School,,High school degree
Issaquah High School,,
Lakeland Regional High School,Also have years of experience in customer service for high profile clients in broadcast media industry (skilled vocal inflection and verbal communication are very important for soothing ruffled clients!),High school degree
Dublin High School,,
Hopkins High School,,High school degree
Solon High School,,High school degree
South Jetty high school,,High school degree
John F. Keneddy Memorial high school,,
Wilmot HIgh School,,
David Douglas High School,,
Green Mountain High School,,
homestead high school,,High school degree
South Warren High School,,
Bradford High School,,High school degree
North Schuylkill Jr / Sr High School,,
Crescenta Valley High School,,
Plainfield High School,,
Clarence High School,Graduated Advanced Regents with Honors,High school degree
Choctaw High School,,
GAINESVILLE HIGH SCHOOL,,
Fairdale High School,,
Rochester High School,,High school degree
Corvallis High School,,High school degree
Hartland Arrowhead High School,,High school degree
George Westinghouse High School,,Other
Perry High School,,
Jarrell High School,,
Rock Bridge Senior High School,,High school degree
Monacan High School,,High school degree
"High School of Technology (Ivan Saric Műszaki, Eletrotechnikai és Közlekedési Középiskola), Subotica, Serbia; in Hungarian",,
Olympus High School,,
Olympic High School,,
Academics Plus Charter High School,,
Al-Madinah High School,,High school degree
Trinity High School,"A private, Catholic high school in Manchester, NH.",High school degree
Kiva High School,,
Newfield High School,Student Government - Senior Class Historian,High school degree
Alan C. Pope High School,,High school degree
Sacred Heart Classical Center High School,I am currently pursuing an AA degree at Rock Valley College.,High school degree
McIntosh High School,,High school degree
Daniel Boone High School,,
Corpus Christi High School,,
Eastmont High School,,High school degree
Cherry Hill High School West,,High school degree
Lithia Springs High School,,High school degree
Jefferson High School,,High school degree
Oceanside High School,,High school degree
East Carter High school,Junior and Senior year took college computer science,
Chatfield Senior High School,,
Anchorage West High School,Enrolled in the Highly Gifted program.,High school degree
Granada High School,,
Kahuku High School,,High school degree
Piscataway High School,,High school degree
Alhambra High School,"Intense studies in Mathematics, Metal Shop, Manufacturing, Arts & Drafting,
which contributed to the Vocational Arts award from Bank of America.",Diploma
High School Diploma,,High school degree
Douglas County High School,,Diploma
El Modena High School,,High school degree
Superior Senior High School,,High school degree
McGavock High School,,High school degree
Edmonds-Woodway High School,,High school degree
Bronx High School of Science,,
Bloomingdale Senior High School,,
Rockford Guilford High School,,High school degree
Sir Francis Drake High School,,High school degree
High School,,
Castle View High School,,
Desert Oasis High School,,Diploma
Riverdale High School,,High school degree
James M. Bennett High School,,High school degree
Los Alamitos High School,,
Bronx High School of Science,,
High School,,
Acalanes High School,,High school degree
West Boca Raton Community High School,,
Independence High School,,
AHST High School,,High school degree
Montgomery High School,,
Seminole County Middle/High School,,
Manteca High School,,High school degree
Tempe High School,,High school degree
Bauxite High School,,
Bayside High School,,High school degree
Aberdeen Central High School,,High school degree
Walter Panas High School,,High school degree
Sullivan High School,,High school degree
High School/ Some College,Also studied cosmetology,
Independence High School,,
Rock Ridge High School,,Associate of Arts and Sciences (A.A.S.)
Fruita Monument High School,,
Nevada Union High School,,
Yucaipa High School,,High school degree
Douglas County High School,High School Graduate,
High School (Homeschool),,
Canton South High School,"Two-year Career Tech (CTE) Graphic Design Program
The Scholastic Art and Writing Awards Gold Key and Honorable Mention
Won 3rd place at Nationals in Business Professional of America in Digital Publishing
Freelance work for Canton Local School",
Pottsville Area High School,,
El Camino High School,,
Westlake High School,,
Greenwood High School,,High school degree
Wasatch High School,,High school degree
Lompoc High School,,
Hillcrest High School,,High school degree
West High School,"Typing, Spanish",High school degree
Port St. Joe High School,,High school degree
Oceanside High School,,High school degree
High School,,
Fontainebleau High School,,High school degree
Tunkhannock Area High School,,High school degree
Paul Robeson High School,,Diploma
Calvary Chapel High School,,
Elmira Southside High School,,
Everett High School,"Active member of:
Photography Club
Journalism Club",High School
Dover Sherborn Regional High School,,
Rochester High School,I took several creative writing classes in addition to my core classes to expand on my experience and knowledge of writing. ,High school degree
Mooreville High School,,Associate of Arts (A.A.)
Rutherford High School,,High school degree
"Coronado Senior High School, El Paso, TX",,
Warwick High School,,
Hillcrest High School,,
