degree_category,institution,comment,degree
Other,Union College,Received a Cumulative GPA of 3.2,Other
Other,Johnson & Wales,,Other
Other,North Carolina State University,"I began attending NC State immediately following high school. After bouncing between several majors (Engineering, History, and Business), and still not being sure what I really wanted to do with my career, I left school to enter the working world. I was lucky - this difficult decision eventually led me to find my true calling - technical writing.",Other
Other,Pacific Northwest Film Scoring Program,"This intensive one year masters program is headed by Emmy-winning composer Hummie Mann. Throughout the program, students score 9 films for live musicians (including a 50-piece orchestra).",Other
Other,Belmont University,I received a Bachelor of Music Degree in Music Composition (May 2016),Other
Other,University of Chicago Graham School,I have completed Basic and Intermediate Manuscript Editing.,Other
Other,Boise State University,• GPA 4.0,Other
Other,University of South Florida - College of Business Administration,"Received the required ""5th year"" of accounting classes needed to become a CPA.",Other
Other,NAVY Nuclear Power School,"Achieved world-class education in Nuclear propulsion and power generation systems in a very short period of time and graduated in top 10%.  I received many college credits, but no degree.",Other
Other,Lynda.com,Ongoing education,Other
Other,University of Pennsylvania,,Other
Other,Fairleigh Dickinson,Taken Units Only,Other
Other,University of Alabama,"Completed advanced Military Science Course to include advanced camp at Fort Riley, KS in 1974.",Other
Other,University of Mississippi,Military Scence,Other
Other,Central Virginia Community College,"Obtained my Associates Degree in General Studies and took a few additional
classes in Writing and English to get a quick start on my Bachelor's Degree.",Other
Other,Virginia Commonwealth University,"Enrolled in their prestigious Art program but eventually switched my major to
English.  Did not obtain a degree due to financial burden.",Other
Other,UCLA Extension,Certificate - Entertainment Studies department,Other
Other,Pellissippi State Technical Community College,"I went to Pellissippi State Technical Community College for 1 and 1/2 semesters. I did not receive a degree. 

I did take classes in Theater, Medical Terminology, Word/Excel/PowerPoint 2000, Excel 2000, English Lit 1/ and Intro to Management.",Other
Other,COS,,Other
Other,Harvard University,"Awarded Harvard-University-Michael Clarke Rockefeller Graduate Fellowship to Japan

Graduate fellowship in Japan. Researched cooperative Japanese behavior to resolve conflicts & enable collaboration in U.S.",Other
Other,EOC Technology Center,Vocational concurrent courses taken during high school.,Other
Other,New Horizons,,Other
Other,SalesForce.com Dev-401,Building Applications with Force.com and Visualforce.,Other
Other,New Horizons,,Other
Other,Full Sail,Computer Science Degree,Other
Other,University of Mississippi Medical Center,"Earning a Doctorate of Medicine, I was also awarded a full 4-year scholarship to Medical School, as well as the Emergency Medicine Award for Fourth Year Medical Students.",Other
Other,Woodrow Wilson,High School Graduate ,Other
Other,Rochester Community and Technical College,,Other
Other,University of Phoenix,,Other
Other,"IVY Tech, Lafayette, IN",,Other
Other,"Indiana Business College, Indianapolis, IN","Basic course of study included, Medical Terminology, Anatomy and Physiology, Pharmacology, Medical Law and Ethics, Basic English, Keyboarding, and Human Relations.  Dean's List - 3.8 GPA",Other
Other,St. Petersburg College,,Other
Other,Georgetown University Law Center,.,Other
Other,Humber College,,Other
Other,UC Berkeley,,Other
Other,Diablo Valley College,,Other
Other,City University of New York,,Other
Other,Yunnan University,This program was economics and business focused. Classes were taught in Mandarin.,Other
Other,Peking University,This program was a language intensive program that required 24/7 use of Mandarin. Classes were taught in Chinese.,Other
Other,"Cosumnes River College, California",General Study,Other
Other,Self Study,"3000+ hours of 3D related study
2000+ hours of 2D related study
800+ hours of programming study (HTML and Java)
600+ hours of project management study

in addition to many more thousands of hours of real-world application of all of these skills",Other
Other,Self Study,"MECP   Mobile Electronics Certified Professional

Security systems, lighting, audio systems, engine electronics, navigation systems, auxiliary features",Other
Other,Steve Mitchell Productions,Intensive voice over study culminating in commercial and character demo.,Other
Other,Freehold Theatre,,Other
Other,"University of California, Davis",Multiple-Subject Teaching Credential,Other
Other,Art Institute of Colorado,"10/1999 - 10/2001 Art Institute of Colorado - Associate of Art - Web Design and Interactive Media Design

Studied computer applications needed to create websites and interactive media projects. Courses included Advanced Photoshop, Illustrator, and Dreamweaver, Typography, and Effective Layout. 

Named to the Dean's List every semester.",Other
Other,Darton,.,Other
Other,Act One Studios,Instructor - Tom Taylorson,Other
Other,Act One Studios,Instructor - Connie Foster,Other
Other,University of Alabama in Huntsville,"Focused on English with an emphasis in Technical Writing. Also took Business classes, including Accounting and Statistics.",Other
Other,University of South Florida,"Was in the Honors Program, which required a higher standard course load. Also took multiple foreign language courses.",Other
Other,University of Alabama in Huntsville,"Worked as a co-op at an engineering company. Course load included Calculus I, II, III, Linear Algebra, Differential Equations, Chemistry, Physics, Computer Programming. Was one course away from a math minor.",Other
Other,Florida College,,Other
Other,Center for Digital Arts,,Other
Other,St. Louis University School of Law,•	Academic Scholarship: Dean’s Scholarship Award,Other
Other,Duke University Office of Continuing Studies,"I enrolled in this certificate program during my employ with a nonprofit organization.  I learned all about the nonprofit sector and its successful management, and was able to apply my knowledge directly to benefit the operation.  

Courses included Getting The Word Out, Program Evaluation, and You're Writing It, Will It Be Read?

http://www.learnmore.duke.edu/nonprofit/",Other
Other,University of Portland,"Enrolled in the College of Arts & Sciences, before transferring to ASU.  Courses included Advanced Public Speaking, American Political System, and General Psychology.

One of 11 students who helped raise over $50,000 for the 1990 Annual Fund Phonathon.",Other
Other,"University of California, San Diego",,Other
Other,Sanford-Brown College,"Associates Degree program Developed projects utilizing Macromedia Director,
Adobe Illustrator & Photoshop, Corel DRAW, and Bryce 3D. Ranked in top 1% of
graduates. Completed degree program in 16 months Recieved special award for
maintaining perfect attendance.",Other
Other,Stanford Graduate School of Business - Executive Program for Emerging Companies,,Other
Other,Yale University,,Other
Other,MissionU,,Other
Other,Suffolk University Law School,First year only plus summer abroad law program through Tulane Law School - earned certificate in European Community Law.,Other
Other,Portland State University,"Studied creative writing and literary analysis, as well as philosophy and psychology. ",Other
Other,Tacoma Community College,I began studying at TCC while I was a junior in high school. The Running Start program allowed me to take college classes for both high school and college credit.,Other
Other,Guadalajara Colony Reporter,"Did a semester-long internship at the Guadalajara Colony Reporter, Guadalajara, Mexico. Interviewed people in Spanish, translated the interviews to English and wrote articles in English for the English-language newspaper, which caters to the North American expatriate community in and near Guadalajara, Jalisco.",Other
Other,Universidad de Málaga,"Studied abroad in Málaga, Spain, for one academic year in college. Took classes in Spanish in their school of Filología Española, including Latin American Literature, Spanish culture and literature, and film.",Other
Other,University of Pittsburgh,,Other
Other,Northwestern University,This intensive professional certificate employed the Project Management Institute's Project Management Body of Knowledge as it applies to information technology project management.,Other
Other,Northwestern University,This intensive professional certificate focused on database management using Oracle and other open source vendors.,Other
Other,Northwestern University,This intensive certificate focused on computational theory and programming languages from Assembler to C++.,Other
Other,Center for Digital Imaging Arts at Boston University,"Web Development, (X)HTML, CSS, JavaScript, MySQL, XML, AJAX",Other
Other,University of Oklahoma,,Other
Other,Oklahom City University,"Deans Honor Roll Member
Gamma Phi Beta Officer",Other
Other,Scottsdale Community College,,Other
Other,KUniversity,"Associates of Science Degree, Network Engineering",Other
Other,"Dustaire, Inc. Commercial Flight School","Completed 300 hours commercial and instrument flight, obtained FAA license.",Other
Other,Temple Jr. College,"Studied under Temple Daily Telegram editor, Larry Ingram, who hired me as a beginning reporter. Attended class during the day, worked at the newspapere during the night. Member of the reporting staff that won the spot news award for 1953 for coverage of a tornado that flattened downtown Waco, Texas.",Other
Other,Ft. Lewis A&M Jr. College,"Football scholarship -- played quarterback, chased girls, tried to study, made lousy grades. Left school to return to Temple, Texas when father hospitalized with terminal cancer.",Other
Other,Madison Area Technical College,A.A.S.,Other
Other,Lynda.com,"I stay up to date on the latest technology using Lynda.com

Lynda.com Certificates

http://www.lynda.com/AllCertificates/User/368471",Other
Other,Writers’ Village University,Writing,Other
Other,New York Institute of Photography,New York Institute of Photography Professional Photography,Other
Other,IGeneration Certified Instructor,"I studied and received my certification to teach in the following certification classes.

1210 HTML
1250 Planning web site requirements
4510 Information and Multi-Media Design For The Web",Other
Other,New Horizons,Photoshop certificate,Other
Other,University of North Texas,,Other
Other,Texas State Technical Institute,,Other
Other,The Temple of Kriya Yoga,,Other
Other,Shoreline Community College,"Studied Graphic Design with a focus on Marketing. Courses included Packaging Design, Typography, Desktop Publishing, Web Design, Logo Design, Print Production.

I studied under the direction of renowned designer, Robynne Raye from Modern Dog Design Co. in Seattle, Wa.",Other
Other,Art Institute of Seattle,"I studied in the fields of Art, Animation and Design as well as Videography. Courses included 2-D and 3-D Animation, Color Theory, Image Manipulation, Video Production, Video Editing, Special Effects.",Other
Other,Anthem College Online,"Pursued an Associates of applied science with a major in Medical billing and
coding. Courses included computer applications, critical thinking and problem
solving, general psychology, algebra wihtin onthers, Math,medisoft,
humanities, medical coding, psycology, within others .",Other
Other,Montgomery College,Took basic English and math classes. Introduction to English as a second language and Basic Algebra.,Other
Other,Career Technical Institute,"Received a certificate as Office Support Specialitst. Courses included  basic
accounting, computer applications within others.",Other
Other,Kansai Gaidai University,"Course Work includes-Japanese language, Zen Buddhism, Buddhist Art and History.

I studied abroad for one semester in Hirakata, Japan. During that time, I learned how to learn more efficiently, make friends from all walks of life, experienced a vastly different culture than my own, and learned how to adapt quickly.",Other
Other,Metropolitian Community College of Kansas City,"Trained to be a computer support specialist with a focus in hardware and networking. Course material include Microcomputer Systems, CCNA 1-4, Windows Operating Systems (98, 2000, and XP), and CompTIA A+ Program.

Member of National Technical Honnors Society. Ranked top 10% of class.",Other
Other,"University of Texas, Austin",,Other
Other,Southern Methodist University,,Other
Other,University of Houston,,Other
Other,Rick's College - Now BYUi,"A.A.	Family Science and Psychology, Spring 1998
	Ricks College, Rexburg, ID",Other
Other,University of South Florida,,Other
Other,American InterContinental University,,Other
Other,Western Kentucky University School Of Journalism & Broadcasting,"Studied Radio & Television Operations, focusing on Radio Production and
Performance. Served as On-Air Talent for WWHR-FM. Served as Traffic Director
for WWHR-FM.",Other
Other,Northwest State,I completed classes at Northwest State to finish up my Bachelor's degree as well as my Associate's degree.,Other
Other,Liberty University,"Writing music for Film, Video Games, and other media. Skills include: Composing, Orchestrating, Arranging, and Recording.",Other
Other,Syracuse University,"I was learning marketing, however I realized at an early stage that what I was being taught was too general and had no real application since this industry changes a lot. 

It is all about attention: Our attention is no longer on radio,tv or print. It is online and on social media, who knows where the attention is going to be a few years from now.

This industry is constantly changing, so if you want to survive you must take action, learn and adapt.",Other
Other,University of Hawaii,"This was a five month fellowship program that I was fortunate to attend with 40 fellows from over twenty countries.  Through this experience I gained valuable knowledge about Asia, many useful leadership skills, as well as making friends from across the globe.  The program is through the prestigious East-West Center on the campus of the University of Hawaii.",Other
Other,Various,Continuing education and graduate study in the areas of web design/development and graphic design through various classes and seminars.,Other
Other,Ohlone College,Java Programming,Other
Other,Ohlone College,,Other
Other,Ohlone College,Perl Programming,Other
Other,Ohlone College,,Other
Other,Ohlone College,"Completed a course in the Statistical Analysis System tool which is a popular
tool used for data analysis in the bio-tech, insurance, banking etc.
industries.",Other
Other,CWI,,Other
Other,School for International Training,"Study abroad program in Bali, Indonesia",Other
Other,"University of California, Irvine","Completed a Level 1 Course outlining the basics of project management, the work breakdown structure and several PM tools. Course was P/F. Coursed was passed with ease.",Other
Other,Warwick Area Career and Technical Center,"Cisco Networking Academy. Maintained an A grade and obtained my Cisco-
Certified Network Associate certification (CCNA).",Other
Other,Shelton State,"- Received Associates degree in Psychology
- Also studied Photography and Business",Other
Other,Wake Technical CC,I currently hold a Certificate in Accounting Principles and an Associate degree in General Studies.,Other
Other,Friedrich-List-Schule Berlin,,Other
Other,Xactware,,Other
Other,Texas Department of Insurance,,Other
Other,Texas Department of Insurance,,Other
Other,"Bell College, United KIngdom",,Other
Other,Beaconhouse School System,University of Cambridge GCE Advanced Level,Other
Other,Beaconhouse School System,University of Cambridge GCE Ordinary Level.,Other
Other,Northlake College,"Studied business and accounting at Northlake College in Irving, TX and have worked for many years in the accounting field.",Other
Other,Hanyang University,,Other
Other,Western Technical College,Associated of Applied Science,Other
Other,TSBPA,I am a Certified Public Accountant from the State of Texas.Certificate Number/License ID:096376,Other
Other,Tallahassee Community College,,Other
Other,http://www.codeschool.com/users/zkinion,"codeschool.com classes:

http://www.codeschool.com/users/zkinion",Other
Other,Johnson & Wales University,Degree: Associate's of Applied Science,Other
Other,St. Mary's School of Radiology,"Took classes in medical terminology, taking x-rays in a hospital setting.  Passed state test in 1994.",Other
Other,Doshisha Women's College (Japan),,Other
Other,SUNY Morrisville,,Other
Other,South University,Core Classes and Classes in Business,Other
Other,Brigham Young University,"Team Leader. Integral team member on numerous projects designing and testing algorithms, design documents, machinima, and games. My proudest moment was when – as team lead for my senior project– I successfully guided my team through the design, implementation, and testing of a fully 3D multiplayer game developed using XNA 3.1 for Xbox Live Indie in 2010. As team leader, I worked to organize all facets of our agile (scrum) development process, provided the tools and communication pipelines necess",Other
Other,University of Minnesota,,Other
Other,Army Transportation Academy,"Valedictorian, Class Commander",Other
Other,Madonna University,,Other
Other,National Taiwan Normal University,,Other
Other,Front Range,,Other
Other,Los Angeles City College,,Other
Other,Art Institute of Pittsburgh,,Other
Other,Kent State University,,Other
Other,Magruder HS,,Other
Other,Kaplan University,I excelled in my class in all areas of medical transcription.,Other
Other,Stanford Univeristy,,Other
Other,Digital Media and Digital Arts,,Other
Other,University of the Nations,,Other
Other,Multnomah Bible College,,Other
Other,Central New Mexico Community College,,Other
Other,ESCP Europe,,Other
Other,Bethel College,,Other
Other,"Kaplan, East Village, NYC, NY",,Other
Other,Connors State College,,Other
Other,"American Writers and Artists, Inc. (AWAI)","Completed the Autoresponder Apprentice program. Learned how to write email campaigns that help marketers attract new customers, and get higher clickthrough rates and conversions.

Also learned how to market my skills.",Other
Other,Long Ridge Writers Group,"Completed the Breaking Into Print course from Long Ridge Writers Group. Learned to write fiction and nonfiction for the magazine market, with instructor guidance.

Concepts covered included:
Fiction concepts including characterization, plot, setting, and more
Nonfiction concepts including slant, interviewing, and more
Analyzing potential markets
Proper manuscript format
How to write a query letter",Other
Other,Miami Ad School,,Other
Other,Sanford Brown College,"This school was formerly Washington Business School located just outside of Washington, DC.  In the late 1990's it became Gibbs Washington when it merged with another secretarial school, Katherine Gibbs.  

When the famous Washington School for Secretaries closed down in the 1990's, Gibbs Washington accepted all of the remaining students.

It later became Sanford Brown College as it moved into the technical age.

I was awarded ""Who's Who in Nationally Accredited Career Schools"" in 1987 and gradu",Other
Other,Bryan Institute,"While attending this computer school, I learned to program in COBOL, FORTRAN, and RPGII.  While all of these languages are no longer being used, I did learn how to ""think like a computer"" which has allowed me to not be afraid to explore and maintain them.",Other
Other,Lord Fairfax Community College,I graduated cum laude with a GPA of 3.496 and thoroughly enjoyed studing Geology and Biology.,Other
Other,Lord Fairfax Community College,I graduated cum laude with a GPA of 3.496 and enjoyed the Liberal Arts program.,Other
Other,Miller Motte,,Other
Other,University of Florida,,Other
Other,Santa Fe College,"Attained Associate of Arts Degree, with Honors.  Both College and National Dean's List every semester and Phi Beta Kappa Member.",Other
Other,Robert Morris University,Graduated with Honors (3.64 GPA),Other
Other,"Universidad de Guanajuato, Mexico",Intensive Spanish language immersion course taken abroad in Mexico.,Other
Other,Delgado Community College,,Other
Other,Red Rocks Community College,"I completed the following courses 2005-2006:

  
XHTML upgrade from HTML

XML

SQL

Access

Introduction to Object Oriented Programming (Java, Java scripting)

Web Development - Cisco Systems Certified

Complete Web Design

Flash",Other
Other,Red Rocks Community College,I took courses that involved all aspects of computer graphics from printing to multi media development. My elective classes were in traditional graphic design,Other
Other,ACCIS (American College of Computer & Information),,Other
Other,Grantham University,,Other
Other,South Central Career College,"The college I attended for this training is the last formal training I have taken. I received a certificate of completion for this course and was never able to work in this field. 

I did make very high scores in all areas but excelled in research and writing.",Other
Other,University of Dubuque,"Attended this college after graduating from high school until the second semester of my junior year. Had to withdraw because of personal reasons, then got married and started a family.",Other
Other,Community College of the Air Force,A.A.S. Degree in Contracts Management,Other
Other,Community College of the Air Force,"A.A.S. Degree, Fitness, Recreation & Services Management",Other
Other,Dodge City Community College,,Other
Other,Friends University,,Other
Other,Portland State,,Other
Other,DDCC,Completed 35 credit,Other
Other,Keiser College,"Completed class in ASP, JavaScript, VBScript & Java 1. Maintained a 4.0 GPA
and on the Deans List.",Other
Other,Southwest Wisconsin Technical College,"Associate Degree
Certificate in Supervisory Management 
Dean's List each semester
Vice President of Marketing Management Association",Other
Other,Cambridge University,Teaching English as a Foreign Language,Other
Other,HLS,,Other
Other,Kaufmaennisches Berufsbildungszentrum Wuerzburg ,,Other
Other,Olympia Training Institute,,Other
Other,"California State University, Bakersfield",,Other
Other,Bakersfield College,"Associate in Science with Honors.

  
Honors English.

  
3.5 GPA",Other
Other,Missouri Western State University,"Completed various courses including but not limited to Oral Communications and English 104, finishing my first year with a 3.7 GPA. 

Secretary of the Missouri Western Griffon Arts Society.
Awarded Dean's List honor.",Other
Other,Coursera,These courses are better than the best universities. I keep learning from them in my spare time.,Other
Other,Walla Walla University,,Other
Other,SRJC,,Other
Other,American Council on Exercise ,"I am very comfortable working with research material, and writing scholarly articles on the subject of fitness.",Other
Other,CompTia,Internationally Recognized Certification - CompTia (MCIWD),Other
Other,CompTia ,Internationally Recognized CompTia Certification (Inet+),Other
Other,U.S. Army Training Course,Legal Specialist Training / Para legal course for the U.S. Army,Other
Other,U.S. Army Training,Effective Administrative and Office Support Training  by the U.S. Army,Other
Other,Baptist University of the Americas,,Other
Other,Western Oregon University,,Other
Other,"2006-2007	University of Colorado at Pueblo, through The Center for Legal Studies  Online Paralegal Course","Paralegal Certificate
	Equivalent to 95 hours of classroom study
	Graduated with a 98% in course",Other
Other,Johns Hopkins - Bloomberg School of Public Health,"OpenCourse in Nutrition, ungraded free BSci course following Johns Hopkins curriculum and lectures currently in progress. Also branching out into researching of Orthomolecular medicine, obesity, and vegan/vegetarian lifestyle benefits.",Other
Other,"University of Edinburgh, Edinburgh, Scotland","Awarded Post Graduate Diploma in Advanced Legal 
Studies (Intellectual Property Law).

This is the taught portion of a research based LLM in Intellectual Property Law. In this rigorous program, I completed courses in: 

- Managing Intellectual Property
- Licensing & Assignation
- The International Intellectual Property System
- Industrial Property
- Copyright and Related Rights
- Information Technology Law
- Contract Management

As well as, research projects in the following subjects:

- Trade M",Other
Other,"University of New York Prague, Prague, Czech Republic","Studied Comparative Economic Systems, International Organizations and Money & Banking",Other
Other,Continuing Education,"I taught myself everything about computers and how to be as effective as possible with them.  Since I was late to study technology and the advances in technology, I had to buy a computer and start learning.  I had a burning desire to be in business for myself, and it was apparent that what I had studied so far would not help me achieve that goal. My first book read was ""Think and Grow Rich"" in 1990.  I re-read it again in 1996. In January 2010, I re-affirmed this commitment to continuous educati",Other
Other,US Naval Nuclear Power School and Prototype,"US Navy Enlisted Nuclear Power School and Prototype.  The school was in Orlando, and the Prototype was in Connecticut.  Neither are there anymore.  The curriculum was reactor theory, heavy on physics and math, mechanical electrical theory and engineering.  It was a very neat piece of experience to have graduated and been a nuclear mechanical engineer by the age of 21.  It also was a gauge of how smart I am when I REALLY want to learn something.",Other
Other,The Florida  State University,"No technology classes such as computers were offered or required yet, as I attended before the ""tech revolution.""",Other
Other,US Career Institute,GPA = 3.98,Other
Other,DCMO BOCES,"Completed 749 out 750 hours of instruction in various computer skills
including: Windows, Word, Excel, Access, and Powerpoint and various office
skills including: Business Math, Business Communications, Data Entry,
Accounting, Electronic Calculator, File Management, Fax Machine. Completed
several real-life simulations that included Legal Office, Bank Teller, and
Receptionist. Mastered keyboarding at 80+ wpm. Received a Microsoft Office
Specialist  certification in Microsoft Word, Excel, Access, ",Other
Other,PCDI,,Other
Other,Cuyamaca Community College,,Other
Other,NCO Academy,"**_Purpose_****: **To provide knowledge and skills required for the duty position of COT Trainer. The graduate will be able to analyze system resources, evaluate,  train personnel and directly contribute to production within a recruiting station, company, and battalion.  

**_Scope_****:  **The course curriculum is designed to provide Regular Army and Reserve Master/Senior Trainers the necessary tools and knowledge to perform mission focused training.**     **

Subject Areas

Trainers Roles and ",Other
Other,University of Chile,"The Civil Engineering Diploma is a professional degree (similar to the P.E. given in the United States) after completing 12 semesters. It is similar to a Master of Engineering, and in order to obtain it the candidate must defend a thesis with original research or application in an industry problem",Other
Other,Aveta Business Institute,,Other
Other,Personal Studies,Advanced studies in Systems development and management.,Other
Other,Personal Studies,"Advanced studies in HTML, CSS, Javascript, PHP, SQL",Other
Other,Amarillo College,Licensed Vocational Nurse,Other
Other,"University of Massachussets, Amherst",,Other
Other,Passaic Community College,,Other
Other,The Creative Circus,"The Creative Circus is a prestigious advertising institute in Atlanta, GA. ",Other
Other,Texas State Technical Institure,"Associate of Applied Science - A.A.S. (2 year) - 3.84 GPA
Studied languages from Assembly to COBAL on networks from LAN to MiniFrames.",Other
Other,College of the Canyons,Attended to brush up on old skills.,Other
Other,University of Sheffield,"I studied at this University for one year on a study abroad program/exchange. I studied various subjects including: philosophy, english, history, and politics. 

While I did not acquire any degree from the University I did finish all of my classes with exemplary marks, and all of the credits transferred back to my home university, mostly as elective credits however.",Other
Other,Kansas University,,Other
Other,Full Sail Real World Education,Associate of Science degree,Other
Other,"University of California, Berkeley",,Other
Other,Mercy College,With a minor in Child development,Other
Other,GED,,Other
Other,University of Phoenix Online,"Did not complete degree requirements, 8 months short.

  
Almost all basic requirements fulfilled with a 3.68 GPA.",Other
Other,NYU,"**-CSS**  
  September 2007 to December 2007  
  
**-JavaScript**  
  February 2008 to April 2008  
  
**-PHP with MySQL**  
  February 2008 to April 2008",Other
Other,Cimquest,* SolidWorks Mold Design,Other
Other,Somerset County Technical Institute,"* 1/2005 - 12/2005 Somerset County Technical Institute - AutoCAD, SolidWorks Advanced Modeling, Architectural CAD",Other
Other,ITTC Education Services,*  Advanced AutoCAD and 3D Design and Realistic 3D Rendering using Bryce,Other
Other,Kilgore College,,Other
Other,Kaplan University,This is a Financial Planning Associate designation.,Other
Other,Indiana State University,"I studied the physics of human motion, but did not finish.  The core classes included many physics, anatomy, and laboratory classes.  I got a lot of experience in technical writing and statistical analysis.",Other
Other,Lake County Vo-Tech,,Other
Other,Roosevelt University,"This was ongoing college work while enlisted in the US Military. I received a
Certificate of Information Systems from Roosevelt University.",Other
Other,University of Oklahoma,I completed basic engineering and general studies for three semesters before joining the Military.,Other
Other,Frederick Community College,.,Other
Other,The Art Institute of Atlanta,.,Other
Other,Cambridge Language Centre,I got the official FIRST CERTIFICATE OF ENGLISH from Cambridge University.,Other
Other,ITT Technical Institute,Associate's Degree,Other
Other,St. Petersburg College,,Other
Other,St. Petersburg College,,Other
Other,Eastern Ky. University,,Other
Other,Columbia College Chicago,I continued studying acting while also learning about improv and sketch comedy. ,Other
Other,DePaul University,I began my schooling at a Theatre Conservatory with a concentration in acting. ,Other
Other,Villanova University,"Completed classes online in:
- Essentials of Project Management
- Project Management Professional Exam Prep
- Advanced Strategic Project Management
- Essentials of IS Security",Other
Other,University of Kansas,Completion of the KU Full-Stack Flex Coding Boot Camp,Other
Other,M.C. College,,Other
Other,Glendale College,,Other
Other,National Institute for Genealogical Studies,,Other
Other,Udacity Android Development Nanodegree,,Other
Other,UDEMY,,Other
Other,Udacity,"""You will hone your understanding of how the web works, develop complex relational databases used to store applications data, secure and configure your own Linux-based servers, and build complete web applications using Python, HTML, CSS, JavaScript and SQL. Your final portfolio will clearly demonstrate key skills mastery.""",Other
Other,Udacity,"""The Udacity Front-End Web Developer Nanodegree is a program that has been co-created with AT&T, Google, GitHub and Hack Reactor. It is an online program that covers the fundamentals of being a Web Developer in the 21st Century, including Frameworks and Libraries, Object Oriented JavaScript, Mobile Responsive design and development, NPM/Node, et cetera.""",Other
Other,University of Central Florida,,Other
Other,Institute for Integrative Nutrition,Certification Program,Other
Other,CCSF,,Other
Other,Roosevelt University,"Studied English to pass the TOEFL test.
Studied Fine Art.",Other
Other,The Cooper Union for the Advancement of Science and Art,,Other
Other,Albertson College of Idaho,"•	Completed 3 ¼ years of study in Biology, Psychology, Chemistry and English Literature.
•	Concentration in Human Anatomy, Cellular Biology and Histology.",Other
Other,Non Disclosed Search Engine Company,,Other
Other,Defense Systems Management College,"PMC, Business Management (1988-2)",Other
Other,Stanford University,,Other
Other,General Assembly,"Received Certificate of Completion
General Assembly's iOS Immersive (iOSI) is a full-time immersive course dedicated to designing and building mobile applications",Other
Other,College of DuPage,,Other
Other,Cornell University,,Other
Other,DeVry University,,Other
Other,Udacity - www.udacity.com,"Currently learning to mined, transform, and load data from various databases, formats, and data sources.  Also, using exploratory data analysis techniques to identify meaningful relationships, patterns, or trends from complex data sets.  Finally, learning to classify unlabeled data or predict into the future with applied statistics and machine learning algorithms.  And communicate data analysis and findings well through effective data visualizations.",Other
Other,EdX - www.edx.org,"This course covers expected outputs of Data Scientists and teach students how to use PySpark (part of Apache Spark) to deliver against these expectations. The course assignments include Log Mining, Textual Entity Recognition, and Collaborative Filtering exercises that teach students how to manipulate datasets using parallel processing with PySpark.",Other
Other,EdX - www.edx.org,"Covered the statistical and algorithmic principles required to develop scalable real-world machine learning pipelines. An integrated view of data processing is presented by highlighting the various components of these pipelines, including feature extraction, supervised learning, model evaluation, and exploratory data analysis. Gaining hands-on experience applying these principles by using Apache Spark to implement several scalable learning pipelines.",Other
Other,Udacity - www.udacity.com,"Currently learning to build complex server-side web applications that make use of powerful relational databases to persistently store data. Also, learning how to secure and configure a Linux-based server to host project applications. Finally, looking into the challenges in horizontally scaling an application to support thousands of users with a cloud-based application hosting provider.",Other
